,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
10,哈尔滨银行,06138,HK,3.71,-,-,-,"    哈尔滨银行成立于1997年2月,总部位于哈尔滨市,是近年来崛起于东北地区的一家新兴城市商业银行。现有天津、重庆、大连、沈阳、成都、哈尔滨等16家分行(含批准筹建1家),在北京、广东、江苏、吉林、黑龙江等14个省及直辖市设立了24家村镇银行,并作为战略投资者投资重组广东华兴银行,营业机构282家,在职员工逾6800人,分支机构遍布全国六大行政区。总资产2,941.02亿元,贷款总额1,005.17亿元,存款总额1,972.48亿元。",-,30.24亿,HK,244.10亿,4.5637,0.60,109.96亿,1.57,-,0.01%,-,-
11,互益集团,03344,HK,-0.02,-,-,-,"    互益集团主要从事生产及销售色纱及针织毛衫,是香港交易及结算所主板上巿公司。集团拥有25年多经验,在所属业界是一间比较大型的纺织公司。
    本集团以垂直式生产,提供一站式服务;由纺纱,染色,编织,缝制至后整成品,配合丰富经验,国际证书及兼具经济规模的生产设备,使公司生产多元化。计有超过 1000多种的毛纱,包括筒子及扎装染色,毛纱更包括羊毛、人造毛 / 羊毛、棉、人造毛 / 棉和麻棉等。",-,53.97亿,HK,45.87亿,-,40.33,53.97亿,1.49,纺织及成衣,0.43%,-,-
12,大昌微线集团,00567,HK,0.42,-,-,-,"    大昌微线集团有限公司现时之主要业务为分别透过大昌微线集团有限公司之全资拥有附属公司-大昌微线有限公司(「大昌微线」)及大昌微线之附属公司-华锋微线电子(惠州)工业有限公司销售及制造精密线路板。
    本集团之线路板厂房坐落於中国广东省惠州市面积超过800,000平方英尺之寿华科学园内。厂房内价值数千万美元之高度自动化和精密的机器及设备,都是特别为了制造高密度互连线路板和改善其品质而度身订做。",-,5.76亿,HK,2.13亿,-,0.89,5.76亿,0.96,电器部件及设备,-,-,-
13,航标控股,01190,HK,0.66,-,-,-,"    根据Frost & Sullivan资料,按2011年的零售额计算,我们是中国中高端陶瓷卫浴洁具市场第二大国内陶瓷卫浴洁具品牌,约占市场分部的4.4%。相比2010年的第三名(占市场分部总额的2.1%),我们按零售额计算的排名上升。根据Frost & Sullivan资料,2011年,国内中高端市场占国内陶瓷卫浴洁具市场零售额的47%。根据Frost & Sullivan资料,按国内品牌知名度及客户偏好排名,我们航标品牌於2010年在中国国内中高端陶瓷卫浴洁具品牌中位列第二。",-,11.99亿,HK,3.42亿,-,0.43,11.99亿,0.69,家居耐用消费品,0.53%,-,-
14,中国农产品股权,00149,HK,0.49,-,-,-,"    中国农产品交易有限公司是全中国最具规模的农业批发管理企业之一,以高质素之管理、食物安全监控、提供之分销及物流服务农产品交易平台,致力为买卖双方建立现代化市场,从而进行农产品贸易及互换。我们策略性地选择农产品买卖点,全部均邻近各大铁路、公路、河道贸易站,成为所属区内所有农产品的贸易枢纽。我们致力促进农业发展,并全力支持中国政府的「菜篮子」工程政策,将农产品分销现代化、中央化及系统化。",-,16.59亿,HK,4.73亿,-,0.59,16.59亿,0.45,中国房地产,3.93%,-,-
15,珩湾科技,01523,HK,0.19,-,-,-,"   我们是一间信誉良好的SD-WAN路由器供应商,专注於设计、开发、推广及销售我们的产品及服务。我们的产品及服务供企业用户(如跨国公司)及行业用户(包括交通、零售及教育行业)使用。SD-WAN路由器市场是全球路由器市场的一部分。我们以自有品牌「Peplink」及「Pepwave」向客户及最终用户推广及销售我们的产品及服务。截至2016年6月18日,我们已获得9项美国专利及1项英国专利,并於国际上拥有超过150项专利申请。",-,10.00亿,HK,8.60亿,21.9017,4.58,10.00亿,4.03,-,0.57%,-,-
16,太平洋酒吧,08432,HK,0.07,-,-,-,"    太平洋酒吧的旗舰店遍布香港多个区域,是目前全港拥有最多分店的连锁酒吧。我们承诺为顾客营造开心,安全,舒适,整洁的环境,打造愉悦欣喜的体验。从1999年成立至今,始终如一地遵循将欢乐带给所有人的使命。",-,8.60亿,HK,5.33亿,58.2434,9.44,8.60亿,-,-,0.69%,-,-
17,安科系统,08353,HK,0.21,-,-,-,"    我们於2006年成立,为驻於新加坡的一间发展迅速的资讯科技公司。企业应用软件为机构用於收集、储存、管理及阐释来自其管理及业务活动数据的一套综合软件应用程序。",-,3.99亿,HK,1.88亿,12.5193,2.23,3.99亿,1.47,-,0.04%,-,-
18,CHI HO DEV,08423,HK,0.11,-,-,-,"    本集团为於香港提供RMAA及装修工程服务的大型总承建商。我们提供的服务主要可分类为(i)维修及保养工程;(ii)改建及加建工程以及装修工程。就维修及保养工程而言,我们的服务包括一般维护、修复及改善现有设施及楼宇和楼宇环境组成部分。至於改建及加建工程以及装修工程方面,我们的服务围绕楼宇平面和结构之改建及加建工程以及现有楼宇内部装潢工程。",-,8.00亿,HK,3.52亿,23.4714,4.10,8.00亿,-,-,0.17%,-,-
19,天时软件,08028,HK,0.05,-,-,-,"    天时软件有限公司以软件发展为本业、以综合提升为架构、以网络服务为定位,这三者是天时的核心价值。 这个核心价值是由(现在)天时所拥有的三个独有的资源具体展现:一个综合的“操作系统群”;香港创业板首家上市公司;全面网络服务的和谐世界。
    这三者分别是天时综合平台在技术、市埸和服务三方面开发的自主创新成果,这就是中国特色自主创新企业的精华所在。",-,28.13亿,HK,2.50亿,-,1.85,28.13亿,1.97,-,0.01%,-,-
20,招商局置地,00978,HK,1.38,-,-,-,"    招商局置地有限公司(简称”招商局置地”或”本公司”) 前身爲东力实业控股有限公司(简称”东力实业”), 该公司於1997年4月成立, 并於1997年10月在香港联交所上市。2012年5月7日, 招商局地産控股股份有限公司 (招商蛇口旗下品牌) 收购东力实业70.18%股份成爲其控股股东, 并於2013年11月1日完成将其所持有的11个房地産项目公司股权注资入本公司, 同时将本公司更名爲招商局置地有限公司。使本公司成爲一家专业的房地産企业。",-,49.05亿,HK,73.58亿,7.4711,1.09,49.05亿,0.51,电子消费品,0.64%,-,-
21,奥星生命科技,06118,HK,1.19,-,-,-,"    客户包括利君集团公司、海正药业、成都生物制品研究所、华兰生物、上海生物制品研究所、葛兰素史克生物制品及北京费森尤斯卡比等制药公司。我们为客户设立生产设施及创建洁净环境提供高端一体化工程解决方案,两者对制药生产均至关重要。解决方案涵盖流体与生物工艺系统、洁净室及自动化控制与监控系统、粉体固体系统及GMP合规性服务,可在药品生命周期的关键阶段(从研究、开发、中试车间、商业生产到产品上市)协助客户。",-,5.13亿,HK,7.18亿,-,1.18,5.13亿,0.96,-,0.13%,-,-
22,粤海置地,00124,HK,2.45,-,-,-,"    金威啤酒品牌乃由金威啤酒集团有限公司(前称粤海啤酒集团有限公司)所拥有。金威啤酒集团有限公司为香港上市公司,是广东省政府在香港最大企业粤海控股集团有限公司的旗下控股企业。
    采用德国传统工艺酿造啤酒,金威啤酒在保持醇厚、清爽风味的基础上创新,具有独特的国际清醇口味。金威啤酒产品包括老金威、金威纯生、金威金纯、金威2008、绿金威等十几个系列,主要广东省销售,亦於香港等海外市场出售。",-,17.12亿,HK,29.61亿,165.0348,0.71,17.12亿,2.50,饮品 (酒精类),0.01%,-,-
23,融创中国,01918,HK,9.67,-,-,-,"    融创中国控股有限公司(简称:融创)是一家专业从事住宅及商业地産综合开发的企业。迄今,公司在环渤海、成渝和苏南城市群拥有衆多处于不同发展阶段的项目,産品涵盖高端住宅、别墅、商业、写字楼等多种物业类型。
    公司专注于高端物业的开发和管理,以“至臻,致远”爲品牌方向,持之以恒的爲客户专注打造高端精品物业,立志成爲对高端品质不懈追求的房地産行业领跑者。",-,38.90亿,HK,466.77亿,17.0359,1.24,38.90亿,1.13,-,0.53%,-,-
24,恒鼎实业,01393,HK,1.25,-,-,-,"    恒鼎实业国际发展有限公司,是一家注册于开曼群岛的有限责任公司。恒鼎实业国际发展有限公司全资控股中华人民共和国境内的四川恒鼎实业有限公司、六盘水恒鼎实业有限公司等公司(合称“恒鼎集团”),这些公司受到中华人民共和国法律管辖和保护。
    恒鼎集团业务主要专注于煤炭资源开采、深加工及其它金属资源的综合利用。我们的主要客户是钢铁厂商。我们是中国西南地区领先的煤炭综合一体化生产商。",-,20.46亿,HK,7.47亿,-,0.29,20.46亿,1.40,煤炭开采及相关贸易,4.62%,-,-
25,鼎石资本,08097,HK,0.05,-,-,-,"    我们是一家总部位於香港的金融服务机构,为个人及企业客户提供订制服务。我们的主要业务包括(i)证券经纪;(ii)证券抵押借贷;及(iii)配售及包销。
    透过我们的主要营运附属公司鼎石证券有限公司(“PSL”),我们获发根据证券及期货条例於香港从事第1类(证券交易)受规管活动的牌照,包括经纪服务、孖展融资服务以及配售及包销服务。PSL亦是交易所参与者。",-,49.10亿,HK,13.75亿,51.6842,5.28,49.10亿,34.94,-,0.03%,-,-
26,碧桂园,02007,HK,3.73,-,-,-,"    中国驰名商标企业碧桂园,成立于1992年,2007年在香港联交所主板上市,是一家以房地产为主营业务,涵盖建筑、装修、物业发展、物业管理、酒店开发及管理等行业的国内著名的综合性房地产开发企业。
    迄今,碧桂园已在全国开发逾80个高品质地产项目,遍布广东、广西、天津、安徽、江苏、湖南、湖北、黑龙江、内蒙古等区域,服务逾25万业主。
    立业以来,碧桂园矢志耕耘于房地产业,开创出独具特色与核心竞争力的碧桂园开发模式。",-,213.41亿,HK,1833.16亿,13.7904,2.31,213.41亿,1.04,中国房地产,0.30%,-,-
27,叁龙国际,00329,HK,0.38,-,-,-,"    叁龙国际有限公司於2001年4月在香港联合交易所有限公司主板上市,并於2007年11月正式改名为“如烟集团(控股)有限公司”。集团主要从事保健产品、医药产品及电子烟的生产及销售业务,及研究开发一系列其他保健产品及药品以供日後生产。
    本集团於2007年6月已全面收购生产和销售电子雾化香烟的BestPartnersWorldwideLimited(现称“SBTInvestment(Holdings)Limited”)之股权,并以“如烟”商标於中国境内及海外积极开展市场。",-,10.60亿,HK,14.31亿,-,3.59,10.60亿,482.14,制药,-,-,-
28,越秀地产,00123,HK,2.76,-,-,-,"    越秀地产股份有限公司(前称越秀投资有限公司,「本公司」)於一九九二年十二月在香港联合交易所有限公司(「联交所」)上市。本公司的控权股东越秀企业(集团)有限公司(「越秀企业」)是广州市人民政府的驻港企业。
    本公司及其附属公司(「本集团」)主要业务为房地产发展及投资,业务主要集中在广州地区。",-,124.01亿,HK,159.98亿,9.014,0.47,124.01亿,0.66,中国房地产,0.46%,-,-
29,百盛集团,03368,HK,2.06,-,-,-,"    百盛于1994年进驻中国零售业市场(“百盛”),并在北京复兴门内大街开设首家百货店,定位于中高档消费群体。百盛是最早在中国经营时尚百货外资连锁企业之一,并且目前已经发展成为中国最大的时尚百货集团之一,拥有覆盖中国30个主要城市的最广泛的营销网络。",-,26.35亿,HK,27.93亿,16.9838,0.52,26.35亿,0.50,百货公司,0.08%,-,-
30,建禹集团,08196,HK,-,-,-,-,"    我们主要在中国提供建设污水设施的工程服务。多年来,我们累积了丰富的专业技术知识,可为市政污水处理、食品加工、纺织及化学品制造等多种行业客户量身定制污水处理设施建造工程解决方案。作为配套服务的一部份,我们亦(i)为客户现有的污水或饮用水处理设施提供定期O&M(营运及维护)服务;及(ii)提供技术谘询服务升级污水处理设施。",-,-,HK,-,-,-,-,-,-,-,-,-
31,新岭域集团,00542,HK,0.08,-,-,-,"    新岭域(集团)有限公司於一九八八年七月十八日在开曼群岛注册成立,其股份自一九八九年十一月於香港联合交易所有限公司主板上市(股份代号为: 00542)。本集团业务发展多元化,包括中国的酒店投资及物业发展。物业发展方面,主要从事销售位於中国中山的优质住宅及商用物业,并将继续开拓中国内地其他发展项目。
    於二零一四年四月,本集团成功收购位於中国茂名市的一家具五星级水准之豪华酒店,名为熹龙国际大酒店。",-,56.82亿,HK,12.16亿,-,2.53,56.82亿,10.09,-,0.08%,-,-
32,朸濬国际,01355,HK,0.03,-,-,-,-,-,3.94亿,HK,6.34亿,-,49.39,3.94亿,31.79,-,0.61%,-,-
33,浙江永安,08211,HK,0.33,-,-,-,"    浙江永隆实业股份有限公司位于在浙江省绍兴县杨汛桥镇,毗邻中国轻纺城。是浙江省第一家在香港联交所股票市场上市的纺织织造企业。
    公司致力于“新品引路”的市场发展战略,分别与英威达公司(原杜邦纤维)、中国解放军总后装备研究所、国家纺织产品开发中心等建立了广泛的技术联合联系,成功开发了一系列高品质面料,包括弹力面料系列、全棉面料系列、混纺面料系列以及醋酸面料系列,多只产品入选中国流行面料。",-,4.76亿,HK,3.14亿,-,0.90,10.64亿,2.47,纺织及成衣,-,-,-
34,中国瀚亚,08312,HK,0.03,-,-,-,-,-,7.40亿,HK,7.40亿,-,33.67,7.40亿,109.57,纺织及成衣,0.02%,-,-
35,腾邦控股,06880,HK,1.14,-,-,-,"    腾邦控股有限公司(6880.HK)是腾邦集团旗下成员,公司於2011年在香港联交所主板上市,作为腾邦集团在海外重要的资本运作平台,腾邦控股致力於通过对海内外资源共享、业务协同与生态整合,以服务带动产品,以实体带动两翼,以两翼带动资本,促进腾邦控股业务与资产规模不断发展壮大,将自己塑造成为“品质生活的引领者、卓越服务的提供者与共赢生态的构筑者”。目前,腾邦控股的股票被纳入MSCI Micro Cap指数。",-,3.50亿,HK,6.65亿,-,1.67,3.50亿,1.39,医疗保健设备及用品,-,-,-
36,中国动力控股,00476,HK,0.75,-,-,-,"    中国动力是一家新型电池技术综合解决方案供应商,高效结合其领先技术及研发能力,提供高科技産品及其在日常生活中的广泛应用。我们的主要业务包括电池、电动车及采矿。利用公司在聚合物固态锂电池方面的领先优势,中国动力成功获得了香港生産力促进局的首个电动巴士项目,并将爲该项目设计、提供并生産永磁同步电机及动力蓄电池系统。",-,44.46亿,HK,9.25亿,-,0.28,44.46亿,6.27,金属采矿及相关贸易,0.02%,-,-
37,大同机械,00118,HK,1.35,-,-,-,"    大同机械企业有限公司(大同机械,股份代号:118)於1958年以经销工业机床创业。经过半个世纪的不断成长,大同机械已发展为一多元化企业,现时主要业务包括机械制造、塑料加工及制品、销售机械和工业用之消耗品等。大同机械於1988年成功地在香港联合交易所上市,此举为集团奠定快速成长之重要里程。",-,7.17亿,HK,3.44亿,-,0.36,7.17亿,0.16,工业机械及设备,-,-,-
38,万泰企业股份,08103,HK,0.23,-,-,-,-,-,1.19亿,HK,2.49亿,-,8.98,1.19亿,5.66,-,0.59%,-,-
39,必瘦站,01830,HK,0.43,-,-,-,"    必瘦站(中国)控投有限公司 是由香港医生创办的纤体美容集团,总部设於香港, 成立於2003年,凭藉独特的医学瘦身技术,为超过二万名顾客带来满意的效果,稳占香港纤体市场领导地位。09年开始进军国内。至现在,业务已扩展至全国十大城市,包括上海、北京、广州、深圳、东莞、佛山、天津、成都、重庆及南京等地,直营店超过50家。",-,10.80亿,HK,8.42亿,6.4792,1.83,10.80亿,1.15,美容护肤,0.03%,-,-
40,华地国际控股,01700,HK,2.42,-,-,-,"    江苏华地国际控股集团有限公司是一家以长江三角洲地区为战略重心,专注于零售连锁领域的投资和管理的大型企业集团,并于2010年在香港主板成功上市。
    经过数十年的发展,华地国际已发展成为泛长江三角洲同时经营百货店及超市业务的领先双模式零售连锁店经营商,形成“八佰伴”、“华地百货”、“大统华”三大核心品牌,网点布局跨江苏、安徽两省南京、无锡、马鞍山等近十个城市。截至2010年7月,华地国际拥有近30家大型连锁门店。",-,23.15亿,HK,41.44亿,11.2256,0.74,23.15亿,0.75,-,0.04%,-,-
41,集美国际娱乐,01159,HK,0.19,-,-,-,"    集美国际娱乐集团有限公司(「集美」)是一间於1997年7月17日在百慕达注册成立为获豁免有限公司。集美为一间投资控股公司及其股票自1998年以来在香港联合交易所有限公司主板上市。集美及其子公司(统称「本集团」)主要从事 (i)娱乐及博彩业务及 (ii)化工产品以及节能及环保产品买卖业务.集美於2014年9月已完成股份整合及股份认讲,并於2014年10月根据上市条例收购守则完成无条件全面要约.",-,5.68亿,HK,37.99亿,-,35.06,5.68亿,16.86,电器部件及设备,0.05%,-,-
42,宝威控股,00024,HK,0.19,-,-,-,"    宝威控股有限公司(「宝威」)及其附属公司(「宝威集团」)於1983年和1990年分别在香港联合交易所有限公司和新加坡证券交易所上市(香港股票编号:0024;新加坡股票编号:Burwill2K)。
    宝威从事国际钢铁贸易业务至今已有60多年历史,为全球最活跃的钢铁贸易商社之一。宝威集团以诚信为本,长期与中国多家大中型钢铁企业及专业进出口商保持著长期良好的业务关系。",-,49.63亿,HK,9.13亿,-,0.95,49.63亿,0.35,-,0.81%,-,-
43,共享经济集团,01178,HK,0.07,-,-,-,"    天年公司创立于1992年10月,是一家集科研、开发、生产、销售、服务为一体的高科技国际化企业,是目前中国保健行业三家经营超过10年的健康产业上市公司之一。天年于2002年2月1日在香港创业板上市,2003年2月10日,转升香港主板。 
    经过十九年的发展,天年公司已经发展成为拥有集“吃”、“喝”、“睡”、“护”、“疗”、“防、于一体的大型保健品企业,其中天年素功能纺织品拥有完全自 主知识产权,并获中、法、美等国发明专利。",-,49.64亿,HK,5.56亿,-,1.69,49.64亿,7.15,医疗保健设备及用品,1.04%,-,-
44,意马国际,00585,HK,1.61,-,-,-,"    意马动画工作室是一家制作CG动画电影并居於领导地位的公司。《阿童木》是意马的最新作品,紧接其推出的《神勇飞鹰侠》,以70年代热播的同名电视连续剧为蓝本,目前正在制作中。
    世界级专才云集的意马动画工作室,采用好莱坞的讲故事方式,结合香港的传统文化及最尖端的CG动画技术,打造出一个电影制作平台,使其可以最高的效率为全球观众制作出高品质的电影。",-,6.89亿,HK,4.83亿,-,0.43,6.89亿,546.15,影视娱乐,0.01%,-,-
45,联众,06899,HK,1.77,-,-,-,"    北京联众互动网络股份有限公司(简称联众)创立于1998年,适逢中国互联网产业发轫之初,联众与中国其他互联网产业拓荒者一道,共同开启了互联网时代的巨大帷幕。自创业之初,联众就独辟蹊径,专注于为玩家提供在线棋牌休闲游戏,目前已成为中国最著名的棋牌休闲游戏互联网服务商, 在广大用户中享有很高的美誉度。联众以棋牌、休闲游戏为战略核心,以开放共赢理念为指引,大力推进互联网平台合作。",-,7.87亿,HK,18.65亿,11.1873,1.34,7.87亿,1.87,-,0.25%,-,-
46,汇创控股,08202,HK,-0.10,-,-,-,"    汇创控股有限公司(「本公司」)於二零零一年十一月十九日在百慕达注册成立为有限公司,其股份自二零零二年八月十二日起在香港联交所创业板上市(股份代号:8202)。",-,9.98亿,HK,5.19亿,-,1.52,9.98亿,9.12,-,0.15%,-,-
47,中国农业生态,08166,HK,0.05,-,-,-,-,-,60.00亿,HK,9.00亿,-,2.83,60.00亿,14.81,-,0.42%,-,-
48,安贤园中国,00922,HK,0.10,-,-,-,-,-,54.34亿,HK,3.91亿,41.3397,0.73,54.34亿,2.62,-,-,-,-
49,中国圣牧,01432,HK,0.94,-,-,-,"    中国圣牧有机奶业有限公司(“圣牧”)是一间根据开曼群岛法律注册成立的获豁免的有限公司。
    圣牧是中国最大的有机乳品公司,我们的有机运营地位於中国内蒙古乌兰布和沙漠,占据了适合垂直一体化“全程有机”产业体系运营的战略性位置,为养殖奶牛提供了理想的环境。圣牧是中国唯一一家符合欧盟有机标准的垂直整合有机乳品公司。",-,63.54亿,HK,104.85亿,13.0437,1.76,63.54亿,2.55,-,0.07%,-,-
50,鑫网易商,01039,HK,0.42,-,-,-,"    鑫网易商集团(以下简称“集团”)是一家联合中国银行、中国银联、中国电信、中国贸促会共同打造的具有国别性质的跨境电子交易平台。集团有效地引入极具竞争力的原产地海外优质商品及服务,通过创新的商业模式、领先的精准网络营销技术、世界一流的供应链体系、不断地创新进取的企业文化,让更多中国消费者通过合理的价格享受到国际化、高品质、时尚前沿的海外品牌商品,在体验优质商品的同时,更感受到异国文化的魅力。",-,18.23亿,HK,20.42亿,-,2.64,18.23亿,4.26,-,0.27%,-,-
51,神通机器人教育,08206,HK,0.06,-,-,-,-,-,16.56亿,HK,7.29亿,-,7.51,16.56亿,6.82,软件及资讯科技顾问,0.06%,-,-
52,东江集团控股,02283,HK,0.83,-,-,-,"    东江集团(控股)有限公司的历史可以追溯到1983年,当时我们的创始人开始在香港从事模具制造行业。经过30年的发展,东江已经成为一个中国领先的一站式的塑料解决方案供应商。据独立著名市场调研公司的报告,我们在2012年中国塑料注塑模具制造商中收入排名第二。",-,8.27亿,HK,26.62亿,13.1405,3.89,8.27亿,1.62,-,0.09%,-,-
53,PERSTA,03395,HK,1.75,-,-,-,"    Persta Resources Inc.是一家从事石油与天然气的勘探、开发与生产的公司,总部位於加拿大阿尔伯塔省卡尔加里。本公司总部位於加拿大阿尔伯塔省,主要从事石油与天然气的勘探、开发与生产,其中天然气为公司的重点业务。PERSTA於二零零五年三月成立,长期目标为建立一间成功的加拿大天然气及原油勘探、开发及生产公司。",-,2.78亿,HK,6.62亿,-,1.36,2.78亿,-,-,0.02%,-,-
54,国农金融投资,08120,HK,0.41,-,-,-,-,-,9.23亿,HK,8767.89万,-,0.23,9.23亿,1.10,农产品,3.96%,-,-
55,亚投金融集团,00033,HK,0.05,-,-,-,"    和协海峡金融集团有限公司(前称“十友控股有限公司”)於一九九六年成立,并於二零零七年上市(上市编号﹕33)。
    本集团以往主要为一元店业务经营商,负责设计、开发、采购及供应派对及喜庆节日用品。近年,集团不断拓展业务,致力成为一家综合企业,发展中的业务包括有贸易、金融、酒店、地产。本集团共有员工约一千名,每年营业额约四亿元。十友控股的目标是扩充成为一家多元化的大企业。",-,93.33亿,HK,8.31亿,-,1.77,93.33亿,6.18,-,0.05%,-,-
56,瑞安房地产,00272,HK,5.83,-,-,-,"    瑞安房地产(股票代号272)总部设於上海,为瑞安集团在中国内地的房地产旗舰公司。瑞安房地产在开发大型、多用途城市核心发展项目及综合住宅发展项目方面拥有卓越的成绩。公司目前在中国内地主要城市的中心地段拥有八个处於不同开发阶段的项目,总建筑面积达1,320万平方米(包括其他投资者权益)。公司於2006年10月4日在香港联合交易所上市,为该年最大型的中国房地产企业上市项目。",-,80.27亿,HK,141.27亿,11.232,0.30,80.27亿,0.67,中国房地产,0.16%,-,-
57,誉宴集团,01483,HK,0.33,-,-,-,"    我们是香港具备全套服务的中式酒楼连锁经营商,专门从事提供一站式中式婚宴服务。我们拥有具不同气氛及创意设计的场所,适合举办婚宴及活动。根据欧睿报告,按婚宴数目划分的市场份额计,我们於二零一零年至二零一二年连续三个年度均为香港婚宴市场(包括所有全套服务酒楼、酒店及会所)三大中式婚宴专家之一。",-,5.58亿,HK,10.71亿,-,5.87,5.58亿,2.47,-,0.01%,-,-
58,顺泰控股,01335,HK,0.34,-,-,-,"    我们是中国一家香烟包装材料制造商及供应商,在中国江苏省占据领先地位,根据Euromonitor报告,於2011年,本集团於中国江苏省的整体香烟包装材料市场(包括纸盒、薄膜及其他包装材料)排名第二(以销售价值计),市场占有率达18.8%。根据Euromonitor报告,以价值计算,江苏省於2011年在中国整个香烟包装材料市场的市场占有率为约5.5%。",-,24.46亿,HK,11.50亿,35.8844,1.38,24.46亿,2.35,造纸、印刷及包装,0.37%,-,-
