,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
21,曼恩凯德,MNKD,US,-2.08,http://www.mannkindcorp.com,8.76%,-/-,Mannkind Corporation于1991年2月14日在美国特拉华州注册成立。Mannkind Corporation是一家生物制药公司，侧重于诸如糖尿病和癌症之类疗法和药品的开发、研制和推广。该公司的主导候选产品——AFREZZA吸入粉末，是一种超速效胰岛素，处于后期临床研究阶段，用于成人1型或2型糖尿病高血糖的控制治疗。AFREZZA是由该公司的专有技术圈颗粒加载到胰岛素分子里。这些加载的粒子雾化吸入后，会深入到使用AFREZZA吸入器的肺部。糖尿病是一个重大的健康问题。 ,16.20,-,-,NASDAQ,-,1.24亿,9572.74万,生物技术,3.57%,61.62%,-0.63
22,Lonestar Resources US Inc. Class A Common Stock,LONE,US,7.62,-,10.53%,-/-,-,1.57,-,-,NASDAQ,-,9536.22万,2182.20万,-,0.13%,-,0.57
23,PIERIS PHARMACEUTICALS INC,PIRS,US,0.42,-,7.21%,-/8.74,-,3.39,-,-,NASDAQ,-,1.73亿,4306.90万,-,1.13%,-,9.57
24,CEL SCI CORP,CVM+,US,-,-,16.36%,-/-,-,-,-,-,AMEX,-,-,-,-,-,-,-
25,CardConnect Corp. Common Stock,CCN,US,-1.39,-,1.43%,-/-,-,13.08,-,-,NASDAQ,-,4.37亿,3118.80万,-,0.20%,-,-10.07
26,GTX,GTXI,US,1.25,-,7.78%,-/-,"GTx, Inc. is a company of pioneering and driven individuals who are delivering better medicines with new science through established pathways.",4.16,-,-,NASDAQ,-,7010.32万,1604.20万,生物技术,0.05%,10.43%,3.50
27,Nobilis Health Corp.,HLTH,US,1.83,-,10.71%,-/11.67,-,15.22,-,-,AMEX,-,1.09亿,7780.40万,-,0.91%,-,0.77
28,赛特科科技,CYTR,US,0.12,-,7.15%,-/-,-,7.79,-,-,NASDAQ,-,8317.40万,1.52亿,生物技术,2.89%,18.35%,4.44
29,Dimension疗法,DMTX,US,1.90,-,8.33%,-/-,-,1.89,-,-,NASDAQ,-,3005.22万,2504.40万,-,0.14%,-,0.66
30,ECO STIM ENERGY SOLUTIONS IN,ESES,US,0.75,-,5.69%,-/-,-,6.25,-,-,NASDAQ,-,1848.42万,1502.80万,-,0.45%,-,1.64
31,达泰莱,DRAM,US,1.62,-,3.65%,-/-,"Founded in 1967 — before Dell, Intel, Microsoft and Sun Microsystems — Dataram Corporation is a recognized worldwide leader in the manufacture of high-quality computer memory, storage and software products.",2.73,-,-,NASDAQ,-,571.01万,120.50万,数据存储设备,1.82%,0.51%,2.93
32,林肯教育服务,LINC,US,1.87,-,5.21%,-/-,-,0.41,-,-,NASDAQ,-,7588.75万,2471.90万,教育培训,0.08%,69.04%,1.64
33,10年国债波动率指数,TYVIX,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
34,TiVo,TIVO,US,15.61,-,3.07%,44.85/49.39,-,2.02,-,-,NASDAQ,-,19.74亿,1.21亿,电视,0.78%,79.35%,1.04
35,RLJ ENTMT INC,RLJE,US,-6.62,-,6.92%,-/-,-,1.28,-,-,NASDAQ,-,1439.15万,553.50万,-,0.39%,17.00%,-0.39
36,第九城市,NCTY,US,-2.06,http://www.the9.com,3.06%,-/-,"第九城市是立足于中国市场的在线游戏开发商和运营商，曾是《魔兽世界》在中国的代理商。目前“第九城市”开发和代理的产品有《EA Sports FIFA Online 2》、《奇迹世界》(SUN)、《卓越之剑》(GE)、《快乐西游》、《王者世界》(Atlantica)、《名将三国》、《九洲战记》、《Audition2》(AU2)、《暗黑之门》(Hellgate: London)、《Ragnarok2》(RO2)、《Emil Chronicle Online》、《Huxley》等。
第九城市于2004年12月15日在纳斯达克上市,发行价每ADS17美元，1ADS=1普通股。",0.52,S1/F1,86-21-51729999,NASDAQ,上海市浦东新区张江高科技园区碧波路690号3号楼,2367.63万,2391.55万,中国网络游戏,0.02%,6.71%,-0.48
37,Merrimack,MACK,US,-2.09,-,2.26%,-/-,-,13.80,-,-,NASDAQ,-,4.69亿,1.32亿,-,0.58%,69.00%,-1.69
38,EAFE波动率指数,VXEFA,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
39,天然气2X空-ProShares,KOLD,US,-,-,2.52%,-/-,-,-,-,-,NYSE,-,774.75万,27.50万,-,7.51%,-,-
40,中国风能技术,CLNT,US,46.14,http://www.cleantechsolutionsinternational.com/,7.89%,-/-,中国风能技术有限公司在风力发电部件生产上已经积累了丰富的经验，公司拥有高精密的技术并扩大了生产能力，能生产高质量的大型环锻，偏航轴承和大型风机传动轴。公司已占有一定的市场份额，并且争取在未来几年内成为风力部件的领先供应商。公司还建立和发展了遍布全国的客户网络，其中包括有很多的风机制造商。,0.59,S1/F1,86 510 8339 7559,NASDAQ,江苏省无锡市惠山区前洲镇堰玉中路9号 214181,1879.90万,523.65万,中国新能源,1.78%,4.18%,0.08
41,"Fulgent Genetics, Inc. Common Stock",FLGT,US,3.13,-,2.88%,-/-,-,3.96,-,-,NASDAQ,-,1.17亿,1769.20万,-,0.12%,-,2.11
42,NATIONAL AMERN UNIV,NAUH,US,1.32,-,1.24%,13.13/-,-,5.92,-,-,NASDAQ,-,5862.43万,2422.50万,教育培训,0.01%,23.00%,1.87
43,Parkervision,PRKR,US,-0.62,-,3.02%,-/-,-,1.53,-,-,NASDAQ,-,3521.88万,1769.80万,集合电路/半导体,0.18%,35.36%,-3.21
44,罗素2000波动率指数,RVX,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
45,高盛波动率指数,VXGS,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
46,科恩,CONN,US,16.72,-,3.22%,12.16/-,"We are a specialty retailer currently operating 75 retail locations in Texas, Louisiana and Oklahoma: 23 stores in the Houston area, 20 in the Dallas/Fort Worth Metroplex, nine in San Antonio, four in Austin, five in Southeast Texas, one in Corpus Christi, four in South Texas, six in Louisiana and three in Oklahoma. We sell home appliances, including refrigerators, freezers, washers, dryers, dishwashers and ranges, and a variety of consumer electronics, including LCD, LED, 3-D, plasma and DLP televisions, camcorders, digital cameras, computers and computer accessories, Blu-ray and DVD players, video game equipment, portable audio, MP3 players, GPS devices and home theater products. We also sell lawn and garden products, furniture and mattresses, and continue to introduce additional product categories for the home to help respond to our customers' product needs and to increase same store sales. Unlike many of our competitors, we provide flexible in-house credit options for our customers. In the last three years, we have financed, on average, approximately 60% of our retail sales.",17.40,-,-,NASDAQ,-,4.82亿,3098.00万,电子产品零售,1.13%,85.77%,0.93
47,LG,LPL,US,16.26,-,1.59%,12.89/5.71,-,2.38,-,-,NYSE,-,94.46亿,7.16亿,综合电子设备,0.04%,6.42%,0.80
48,Aegean Marine Petroleum Networ,ANW,US,15.80,-,3.74%,17.68/9.64,-,12.59,-,-,NYSE,-,4.22亿,3944.60万,基础材料批发商,1.56%,57.00%,0.68
49,谷歌波动率指数,VXGOG,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
50,TSR软件,TSRI,US,4.91,-,6.16%,-/78.13,-,0.12,-,-,NASDAQ,-,1226.29万,196.20万,商业软件及服务,0.61%,9.89%,1.27
51,Rosetta Genomics,ROSG,US,2.40,-,5.88%,-/0.18,-,0.55,-,-,NASDAQ,-,404.21万,237.80万,诊断药物,4.43%,3.00%,0.71
52,FieldPoint,FPP,US,-0.10,-,8.51%,-/-,-,0.62,-,-,AMEX,-,373.42万,1066.90万,-,0.78%,9.89%,-3.50
53,Multi-Color,LABL,US,20.67,-,0.89%,18.91/22.56,-,15.03,-,-,NASDAQ,-,13.35亿,1694.60万,商业服务,0.30%,77.45%,3.82
54,"Opexa Therapeutics, Inc.",OPXAW,US,-,-,91.13%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
55,枢纽,HUBG,US,18.69,-,4.06%,19.57/17.14,-,1.93,-,-,NASDAQ,-,11.53亿,3347.60万,航空速递及货运服务,0.96%,94.87%,1.84
56,油价波动率指数,OVX,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
57,Organovo,ONVO,US,-,-,3.20%,-/-,-,-,-,-,NASDAQ,-,2.93亿,1.04亿,-,0.52%,25.00%,6.73
58,旭明光电,LEDS,US,2.89,-,5.19%,-/-,"台湾旭明光电为高功率LED芯片厂商，专门从事LED磊晶、晶粒、封装之制造与研发；客户主要是台湾和中国业者。母公司是美国SemiLEDs。

2010年12月9日，旭明光电（SemiLEDs Corporation ）登陆纳斯达克，以17美元价格发行525万份ADS，融资近9000万美元。",11.97,-,-,NASDAQ,-,1027.74万,352.00万,工业电子器械,1.02%,6.00%,1.01
59,第一太阳能,FSLR,US,50.13,-,2.91%,16.93/7.44,First Solar第一太阳能1999年建立，于2002年开始商业化生产，是全球最大的薄膜太阳能光伏模块生产商。以产品生命周期为单位，First Solar太阳能光伏技术拥有业界最低的碳足迹和最短的能源偿还期。该公司2006年11月17日在纳斯达克IPO。,5.26,-,-,NASDAQ,-,37.90亿,1.04亿,专用半导体,2.45%,70.19%,0.73
60,"Albireo Pharma, Inc. Common Stock",ALBO,US,4.96,-,2.36%,-/-,-,0.94,-,-,NASDAQ,-,1.33亿,629.30万,-,4.75%,-,4.28
61,IBM波动率指数,VXIBM,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
62,Noble Corp plc,NE,US,22.32,-,1.96%,8.75/-,-,4.15,-,-,NYSE,-,11.26亿,2.45亿,-,4.27%,87.06%,0.21
63,Empire Resorts ,NYNY,US,8.63,-,0.63%,-/-,-,62.40,-,-,NASDAQ,-,7.37亿,3117.70万,度假村与赌场,-,8.15%,2.74
64,LONG ISLAND ICED COM USD0.0001,LTEA,US,-,-,-,-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
65,Lightbridge Corporation,LTBR,US,0.78,-,7.95%,-/-,-,3.27,-,-,NASDAQ,-,1744.49万,991.20万,-,0.64%,18.99%,2.26
66,GlycoMimetics,GLYC,US,1.34,-,15.25%,-/-,-,13.14,-,-,NASDAQ,-,3.26亿,2464.00万,-,68.11%,74.00%,9.89
67,Wi-LAN Inc,WILN,US,1.99,-,2.84%,8.12/15.67,"Wi-LAN Inc., together with its subsidiaries, engages in the acquisition, development, and licensing of technologies that drive products in communications and consumer electronics markets in the United States, Europe, Asia, and Canada. The company licenses its patent inventions in the areas of wireless technologies, wireline technologies, and v-chip technologies. Its wireless technology portfolio consists of approximately 450 issued and pending patents, including Wi-Fi, WiMAX, LTE, CDMA, ADSL, DOCSIS, mesh, multi-mode wireless, and Bluetooth technologies; wireline technology portfolio comprises approximately 155 issued and pending patents that cover power conservation, rate conversion, timing control, IPTV systems, and crosstalk and noise reduction technologies; and v-chip technology portfolio consists of approximately 185 issued and pending patents, which allow users of digital television receivers to filter out programming that they consider inappropriate. Wi-LAN serves companies that manufacture or sell a range of communication and consumer electronics products, including 3G cellular handsets, Wi-Fi enabled laptops, Wi-Fi/DSL routers, xDSL infrastructure, WiMAX base stations, Bluetooth-enabled devices, and digital television receivers. Wi-LAN Inc. was founded in 1992 and is headquartered in Ottawa, Canada.",0.53,-,-,NASDAQ,-,1.67亿,1.19亿,-,0.20%,-,0.71
68,GENERAL MOLY INC,GMO,US,0.97,-,3.62%,-/-,-,-,-,-,AMEX,-,3257.22万,1.11亿,-,0.12%,21.32%,0.30
69,Ship Finance ,SFL,US,12.13,-,2.50%,11.01/7.45,-,15.60,-,-,NYSE,-,13.09亿,9350.50万,海运,0.92%,38.14%,1.15
70,Five Star Quality Care,FVE,US,3.16,-,2.70%,-/-,-,0.72,-,-,NASDAQ,-,9065.00万,4900.00万,-,0.07%,61.71%,0.59
71,PERION NETWORK LTD,PERI,US,2.67,-,3.23%,2.49/38.75,-,3.67,-,-,NASDAQ,-,1.20亿,7755.00万,-,0.06%,24.00%,0.58
72,YANGTZE RIV DEV LT COM USD0.0001,YERR,US,1.11,-,7.91%,-/-,-,-,-,-,NASDAQ,-,21.34亿,1.72亿,-,0.03%,-,11.16
73,National Holdings Corporation,NHLD,US,2.48,-,2.51%,-/9.96,-,3.11,-,-,NASDAQ,-,3470.18万,1243.80万,-,0.14%,25.00%,1.16
74,阿罗特克,ARTX,US,-,-,-,-,-,-,-,-,NASDAQ,-,-,-,工业电子器械,-,-,-
75,MICRONET ENERTEC TECH INC,MICTW,US,-,-,1.36%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
76,CPI CARD GROUP INC COM USD0.001,PMTS,US,-1.83,-,8.89%,-/-,-,10.66,-,-,NASDAQ,-,1.25亿,5559.20万,-,0.35%,-,-1.20
77,福汇Global Brokerage,GLBR,US,-16.65,-,5.00%,-/0.91,-,9.40,-,-,NASDAQ,-,1228.66万,614.30万,-,0.25%,-,-0.12
78,Endocyte ,ECYT,US,2.98,-,3.83%,85.67/-,-,5.89,-,-,NASDAQ,-,1.11亿,4247.10万,-,0.31%,56.00%,0.87
79,新兴市场波动率指数,VXEEM,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
80,瑞立集团,SORL,US,7.20,http://www.sorl.cn/,8.71%,5.33/9.45,SORL汽车零部件公司（中国运营主要实体为瑞立集团）专业生产各类汽车零部件产品，拥有从德国、瑞典、台湾等地进口的一大批高精尖端设备，主要生产汽车气制动、液压制动、汽车电器、汽车仪表、转向助力泵、电涡流缓速器、汽车ABS、电子燃油泵、自动间隙调整臂等产品，并且形成了较大的规模，已为中国一汽集团、东风集团、上汽集团等30多家国内汽车制造厂提供配套服务。,2.50,https://www.sec.gov/Archives/edgar/data/714284/000114420406048403/v058158s1a.htm,86-577-65817721,NASDAQ,浙江省瑞安经济开发区毓蒙路1169号瑞立工业区,1.61亿,1930.49万,中国汽车与汽车零部件,6.06%,9.97%,1.16
81,能源股票波动率指数,VXXLE,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
82,Stanley Furniture ,STLY,US,1.34,-,5.27%,-/-,-,4.15,-,-,NASDAQ,-,1643.29万,1467.20万,家具及配件,0.28%,65.13%,0.83
83,Partner Communications,PTNR,US,1.94,-,2.08%,-/58.89,"Partner Communications Company Ltd. (Partner) is a mobile telephone network operator in Israel. The Company’s products and services are marketed under the orange brand. During the year ended December 31, 2009, its global system for mobile communications/universal mobile telecommunications system (GSM/UMTS) network covered over 98% of the Israeli population. Its GSM services include standard and enhanced GSM services, as well as value-added services and products, such as roaming, voice mail, voice messaging, color picture messaging, ringtone and game downloads, information services, and general packet radio services (GPRS), which enables the packet transfer of data. Its third generation (3G) network offers a range of services, such as video calls, a new portal of content services, including a rich selection of video-based services under the orange time sub-brand, and the transmission of data.",3.31,-,-,NASDAQ,-,8.44亿,1.59亿,-,-,5.35%,2.73
84,Shoe Carnival ,SCVL,US,17.58,-,3.22%,20.10/14.79,-,3.49,-,-,NASDAQ,-,3.26亿,1723.10万,服装店,1.57%,67.12%,1.08
85,M III Acquisition Corp. Warrant,MIIIW,US,-,-,6.41%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
86,FIELDPOINT PETROLEUM CORP,FPP+,US,-,-,14.69%,-/-,-,-,-,-,AMEX,-,-,-,-,-,3.91%,-
87,天然气3X空-Direxion,GASX,US,-,-,2.23%,-/-,-,-,-,-,NYSE,-,375.44万,12.50万,-,3.56%,-,-
88,纳指波动率指数,VXN,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
89,"Oncobiologics, Inc. Series A Warrant",ONSIW,US,-,-,49.56%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
90,"Daseke, Inc Warrant",DSKEW,US,-,-,3.05%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
91,KENON HLDGS LTD,KEN,US,12.68,-,-,-/-,-,0.35,-,-,NYSE,-,6.48亿,5372.00万,-,-,2.00%,1.01
92,Arlington Asset Investment Corp. 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,AI-B,US,-,-,1.63%,-/-,-,-,-,-,NYSE,-,314.41万,13.50万,-,30.01%,-,-
93,TRIO TECH INTL,TRT,US,5.50,-,6.88%,-/16.81,-,0.21,-,-,AMEX,-,1895.40万,352.30万,-,0.89%,17.29%,0.98
94,FNB Bancorp,FNBG,US,23.46,-,0.12%,-/18.38,-,-,-,-,NASDAQ,-,1.99亿,487.90万,-,0.06%,6.93%,1.74
95,伍德马克,AMWD,US,20.21,-,1.49%,22.51/21.34,-,2.45,-,-,NASDAQ,-,14.17亿,1623.30万,-,0.50%,80.06%,4.32
96,TOP Ships ,TOPS,US,160.03,-,14.59%,-/-,-,0.34,-,-,NASDAQ,-,157.77万,328.70万,海运,89.47%,14.00%,-
97,WMIH CORPORATION,WMIH,US,1.04,-,4.17%,-/2.86,-,8.90,-,-,NASDAQ,-,2.48亿,2.06亿,-,0.11%,17.29%,1.15
98,Trupanion,TRUP,US,1.51,http://www.trupanion.com,1.47%,-/-,"Trupanion is a direct-to-consumer monthly subscription service providing a medical insurance plan for cats and dogs throughout the United States, Canada and Puerto Rico. Our data-driven, vertically-integrated approach enables us to provide pet owners with what we believe is the highest value medical plan for their pets, priced specifically for each pet’s unique characteristics. Our growing and loyal member base provides us with highly predictable and recurring revenue. We operate our business with a focus on maximizing the lifetime value of each pet while sustaining a favorable ratio of lifetime value relative to acquisition cost.",37.27,S1/F1,-,NASDAQ,-,5.04亿,2976.10万,保险经纪公司,0.30%,72.00%,11.25
99,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,US,-3.44,https://www.biohavenpharma.com ,1.69%,-/-,生物医药控股有限公司是于2013年9月25日在英属维尔京群岛注册成立的公司。该公司是一个临床阶段的生物制药公司，拥有创新的，后期的产品候选人针对神经系统疾病，包括罕见疾病组合。 ,-,S1/F1,-,NYSE,-,7.51亿,3423.10万,-,0.26%,-,-6.38
100,Central Federal,CFBK,US,2.41,http://www.cfbankonline.com,0.98%,-/41.00,"CFBank has its roots in the clay-rich soil of Wellsville, Ohio, where it was founded in 1892 as Central Federal Savings & Loan. For the first 110 years, CFBank was based in Columbiana County, with its headquarters in Wellsville and an office in nearby Calcutta.",0.37,-,-,NASDAQ,-,3339.16万,1628.90万,-,0.01%,51.69%,0.85
101,Stein Mart,SMRT,US,1.52,-,14.39%,21.23/-,-,5.79,-,-,NASDAQ,-,6227.96万,4718.10万,服装店,8.04%,53.63%,0.87
102,CELLULAR BIOMEDICINE GROUP I,CBMG,US,4.29,-,4.13%,-/-,-,21.11,-,-,NASDAQ,-,8645.85万,1429.10万,-,0.27%,-,1.41
103,油气开采-3X空-Direxion,DRIP,US,-,-,3.77%,-/-,-,-,-,-,NYSE,-,1793.04万,108.00万,-,27.84%,-,-
104,SENESTECH INC COM USD0.001,SNES,US,0.83,-,3.41%,-/-,-,8.65,-,-,NASDAQ,-,7191.87万,1021.60万,-,0.05%,-,8.48
105,COUNTERPATH CORP,CPAH,US,1.71,-,-,-/-,-,1.13,-,-,NASDAQ,-,991.12万,500.60万,-,-,-,1.16
106,金矿波动率指数,VXGDX,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
107,苹果波动率指数,VXAPL,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
108,赛安诺科技,CYAN,US,2.99,-,2.67%,-/-,-,2.83,-,-,NASDAQ,-,2125.26万,566.90万,-,0.01%,21.64%,1.25
109,SCYNEXIS,SCYX,US,1.31,http://www.scynexis.com,6.17%,-/-,"SCYNEXIS is a pharmaceutical company committed to the discovery, development and commercialization of novel anti-infectives to address significant unmet therapeutic needs. We are developing our lead product candidate, SCY-078, as a novel oral and intravenous (IV) drug for the treatment of serious and life-threatening invasive fungal infections in humans. SCY-078 has been shown to be effective in vitro and in vivo in animal studies against a broad range of Candida and Aspergillus fungal species, including drug resistant strains. These important pathogens account for approximately 85% of invasive fungal infections in the United States and Europe. SCY-078 was shown to be sufficiently safe and well-tolerated in multiple Phase 1 studies to support progression to Phase 2 studies. We anticipate that the first patient will be enrolled in the second half of 2014 in a Phase 2 study with an oral formulation of SCY-078 for the treatment of invasive Candida infection, a common and often fatal invasive fungal infection, and anticipate beginning studies with an IV formulation of SCY-078 in 2015.",7.57,S1/F1,-,NASDAQ,-,4179.42万,2579.90万,医药制造,1.57%,49.00%,1.24
110,华能电力,HNP,US,26.28,-,0.67%,9.19/74.67,-,1.95,-,-,NYSE,-,35.10亿,1.18亿,-,0.06%,0.66%,1.14
111,BioDelivery,BDSI,US,0.69,http://www.bdsi.com/,6.52%,-/-,"BioDelivery Sciences (""BDSI®"") is a specialty pharmaceutical company that is leveraging its novel and proprietary patented drug delivery technologies to develop and commercialize, either on its own or in partnerships with third parties, new applications of proven therapeutics.",10.62,-,-,NASDAQ,-,1.27亿,5532.60万,生物技术,0.75%,71.74%,3.33
112,Ichor Holdings Ordinary Shares,ICHR,US,6.55,-,9.83%,-/16.59,-,1.03,-,-,NASDAQ,-,5.55亿,2480.60万,-,6.60%,-,3.42
113,Ultralife,ULBI,US,4.57,-,2.54%,-/18.44,-,0.37,-,-,NASDAQ,-,9139.28万,1549.00万,-,0.83%,30.45%,1.29
114,UQM TECHNOLOGIES INC,UQM,US,0.19,-,1.26%,-/-,-,9.34,-,-,AMEX,-,3497.90万,4858.20万,-,0.02%,18.95%,3.79
115,"CASI Pharmaceuticals, Inc",CASI,US,0.34,-,3.85%,-/-,-,2.07,-,-,NASDAQ,-,6019.66万,6019.70万,-,0.04%,11.08%,2.94
116,可可ETN-iPath,NIB,US,-,-,2.02%,-/-,-,-,-,-,NYSE,-,5372.51万,221.00万,-,7.74%,-,-
117,Amphastar Pharmaceuticals,AMPH,US,7.08,http://www.amphastar.com,1.87%,-/74.00,"Amphastar Pharmaceuticals is a specialty pharmaceutical company that focuses primarily on developing, manufacturing, marketing and selling technically-challenging generic and proprietary injectable and inhalation products. We currently manufacture and sell 15 products in the U.S. and are developing a portfolio of 13 generic and seven proprietary injectable and inhalation product candidates. We have achieved profitability for each of the past three years but have recorded a loss for the three months ended March 31, 2014. For the year ended December 31, 2013 and for the three months ended March 31, 2014, we recorded net revenues of $229.7 million and $45.9 million, respectively. We recorded net income of $11.9 million for the year ended December 31, 2013 and a net loss of $1.6 million for the three months ended March 31, 2014.",5.30,S1/F1,-,NASDAQ,-,7.11亿,4573.80万,主要药品制造商,0.38%,18.00%,2.20
118,Caleres鞋业,CAL,US,14.27,https://caleres.com/,3.01%,-/16.80,"   Caleres, Inc.于1878年成立，并于1913年注册。其经营范围涉及鞋业，当前业务包括零售鞋店和电子商务网站的运作，以及女鞋、男鞋和童鞋的采购及营销。该公司还设计、采购并在多个分销渠道销售众多知名批发品牌鞋业，如娜然、Dr. Scholl’s、Via Spiga、王薇薇薰衣草、山姆爱德曼、佛朗哥萨托、Avia、 ryk和LifeStride。除了零售和批发业务，该公司拥有强大的电子商务网站：FamousFootwear.com、Naturalizer.com和Shoes.com。其目标是成为最被看好和最有价值的鞋履品牌 .",-,-,-,NYSE,-,10.99亿,4303.80万,干线航空公司,0.89%,83.34%,1.79
119,BLACKROCK MD MUNICIPAL BOND,BZM,US,-,-,0.88%,-/13.75,-,-,-,-,AMEX,-,3057.10万,207.80万,-,0.37%,4.07%,0.90
120,海洋石油信托,MARPS,US,0.46,-,7.76%,-/3.04,-,0.06,-,-,NASDAQ,-,813.80万,200.00万,多元化投资,1.48%,2.00%,8.93
