,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
10,杭州园林,300649,SZ,4.57,-,1600.00万,6.82%,114.01/114.01,"    2001年11月13日,公司前身杭州园林设计院有限公司成立。
    2011年2月12日,公司名称由杭州园林设计院有限公司变更为杭州园林设计院股份有限公司。",SZ,28.78亿,9.85,21.36,6400.00万,-
11,创意信息,300366,SZ,5.40,-,2.01亿,4.67%,66.79/50.44,"    公司前身系四川省创意技术发展有限责任公司,由郭树勋、王晓明、马陵、陆文斌四个自然人共同投资设立。1996年12月9日,经四川省工商行政管理局核准,取得5100001809273号企业法人营业执照。截至2008年9月30日经审计的净资产58,430,852.98元为基础,按照1.1686:1的比例折为5,000万股,以整体变更方式设立为四川创意信息技术股份有限公司。股份有限公司于2008年12月9日在四川省工商行政管理局注册,注册登记号为:510000000075931。",SZ,78.07亿,2.75,6.69,5.26亿,计算机
12,新宏泽,002836,SZ,2.44,-,4000.00万,11.10%,107.78/107.78,"    广东新宏泽包装股份有限公司的前身为潮州新宏泽包装有限公司,成立于2006年3月22日。
    2010年12月2日,公司名称由""潮州新宏泽包装有限公司""变更为""广东新宏泽包装有限公司""。
    2011年8月25日,广东新宏泽包装有限公司整体变更设立为广东新宏泽包装股份有限公司。",SZ,54.22亿,13.89,21.70,1.60亿,轻工制造
13,天业通联,002459,SZ,3.19,-,2.18亿,5.11%,309.41/290.90,-,SZ,62.23亿,5.02,23.36,3.89亿,机械设备
14,民德电子,300656,SZ,6.37,-,1500.00万,-,38.74/38.74,"    2004年2月23日,公司前身深圳市民德电子科技有限公司成立。
    2015年5月7日,“深圳市民德电子科技有限公司”更名为“深圳市民德电子科技股份有限公司”。",SZ,17.94亿,4.69,13.06,6000.00万,-
15,正海生物,300653,SZ,5.36,-,2000.00万,-,52.62/52.62,"    2003年10月22日,公司前身烟台正海生物技术有限公司成立。
    2015年6月26日,公司名称由烟台正海生物技术有限公司更名为烟台正海生物科技股份有限公司。",SZ,23.93亿,5.58,13.71,8000.00万,-
16,伟隆股份,002871,SZ,7.35,-,1700.00万,15.74%,63.55/63.55,"    公司前身为成立于1995年6月8日的青岛伟隆阀门有限公司(原名青岛伟隆经贸有限公司,2004年10月更名为青岛伟隆阀门有限公司)。
    2012年3月31日,伟隆有限以整体变更的方式设立股份有限公司,名称变更为青岛伟隆阀门股份有限公司。",SZ,33.33亿,6.67,10.93,6800.00万,-
17,英维克,002837,SZ,3.03,-,2000.00万,10.79%,64.82/64.82,"    公司前身为深圳市英维克科技有限公司,成立于2005年8月15日。
    2013年8月15日,深圳市英维克科技有限公司整体变更为深圳市英维克科技股份有限公司。",SZ,46.55亿,18.76,8.71,8209.20万,机械设备
18,易明医药,002826,SZ,2.96,-,4743.00万,4.29%,68.20/68.20,"    2007年12月29日,公司前身西藏雪山金罗汉医药有限公司成立。
    2009年1月14日,公司名称变更为西藏易明西雅生物医药科技有限公司。
    2014年12月31日,公司名称由“西藏易明西雅生物医药科技有限公司”变更为“西藏易明西雅医药科技股份有限公司”。",SZ,37.75亿,6.73,7.90,1.90亿,医药生物
19,创新股份,002812,SZ,11.91,-,3348.00万,1.84%,44.93/46.35,"    云南创新新材料股份有限公司系于2011年4月8日经云南省商务厅[云商资(2011)50号]<云南省商务厅关于同意云南玉溪创新彩印有限公司变更为股份有限公司的批复>批准,由""云南玉溪创新彩印有限公司""整体变更而来的。2011年5月12日,公司在云南省工商行政管理局登记注册成立,并取得了注册号为[530400400000009]的<企业法人营业执照>。",SZ,74.30亿,4.66,6.56,1.34亿,-
20,寿仙谷,603896,SH,5.74,-,3495.00万,13.01%,60.87/60.87,"    公司前身为武义县金星食用菌公司于1997年3月3日成立。2008年6月3日,公司名称变更为浙江寿仙谷生物科技有限公司。
    2013年6月27日,经金华市工商局核准登记,公司整体变更为浙江寿仙谷医药股份有限公司。",SH,49.29亿,6.14,14.23,1.40亿,-
21,顶点软件,603383,SH,9.93,-,2105.00万,-,39.65/39.65,"    1996年7月12日,公司前身福州顶点计算机软件有限公司成立。
    2000年10月25日,福州顶点计算机软件有限公司更名为福建顶点软件股份有限公司。",SH,27.94亿,3.34,12.41,8419.00万,-
22,保隆科技,603197,SH,10.63,-,2928.00万,-,38.77/38.77,"    公司前身是上海保隆实业有限公司,成立于1997年5月20日;2005年9月30日,公司更名为上海保隆实业股份有限公司;2007年4月,公司更名为上海保隆汽车科技股份有限公司。",SH,51.31亿,4.12,2.60,1.17亿,-
23,森特股份,603098,SH,4.04,-,6251.00万,4.96%,51.02/51.02,-,SH,105.56亿,6.53,5.49,4.00亿,建筑装饰
24,先达股份,603086,SH,12.81,-,2000.00万,8.98%,35.35/35.35,"    2002年9月20日,公司前身山东先达化工有限公司成立。2011年11月27日,经先达有限第四次临时股东会审议通过,同意整体变更设立山东先达农化股份有限公司,并于2011年12月22日在山东省工商行政管理局完成工商变更登记,取得注册号为371625228004323的《企业法人营业执照》。",SH,34.73亿,3.39,3.57,8000.00万,-
25,通合科技,300491,SZ,2.85,-,5093.04万,6.62%,112.59/140.48,"    公司前身为石家庄通合电子有限公司,成立于1998年12月21日。经2012年7月1日和2012年7月16日召开的通合有限股东会审议通过,全体股东一致同意通合有限整体变更设立为石家庄通合电子科技股份有限公司。2012年8月23日,公司取得石家庄市工商行政管理局核发的变更后的<企业法人营业执照>,注册号为130101000000793。",SZ,46.21亿,11.13,21.19,1.46亿,电气设备
26,三利谱,002876,SZ,9.95,-,-,-,-/-,-,SZ,-,-,-,6000.00万,-
27,新天药业,002873,SZ,8.49,-,1722.00万,-,42.59/42.59,"    公司前身为贵阳新天药业有限公司,成立于1995年8月11日。2001年12月30日,经贵州省工商行政管理核准登记,公司整体变更为贵阳新天药业股份有限公司。",SZ,24.31亿,4.16,3.45,6888.00万,-
28,同德化工,002360,SZ,2.62,-,2.87亿,4.56%,36.48/33.70,"    2001年6月10日,山西同德化工有限公司在河曲县工商行政管理局注册登记。
    山西同德化工有限公司依法整体变更设立山西同德化工股份有限公司,发起人为张云升、张乃蛇、邬庆文、邬卓、任安增、秦挨贵、白利军、赵贵存、李文升、樊高伟、邬敦伟、王建伟、樊有明、郭有泉共14名自然人。公司以截止2005年12月31日经审计的净资产4,435.37万元按1.1088:1的比例折合股本4,000万股,于2006年1月18日在山西省工商行政管理局登记注册成立,企业法人营业执照注册号为:1400002004534。
    2007年12月20日,公司在山西省工商行政管理局办理了变更登记,注册号为140000200045347。",SZ,30.19亿,2.94,4.15,3.92亿,-
29,北京科锐,002350,SZ,5.06,-,2.18亿,9.50%,81.28/92.80,"    公司前身科锐有限公司(1993年公司设立时名称为北京科锐创新电力技术有限公司,1997年经北京市工商行政管理局核准公司名称变更为北京科锐配电自动化技术有限公司)于1993年7月17日由北京科锐通用电气公司(后更名为北京电研汇华电气公司)和张汉华、袁钦成、张斌、何大海、刘泽刚、李晓峰、向世隆、尹东、谢慈保、王斌、赵宏羽、胡艳萍、李玉生、田世明、张久格、朱炳荣、周敏和王炬等18名自然人股东共同出资成立。2001年4月25日,经北京市人民政府原经济体制改革办公室京政体改股函(2001)30号<关于同意北京科锐配电自动化技术有限公司变更为北京科锐配电自动化股份有限公司的通知>批准,北京科锐配电自动化技术有限公司采用整体变更的方式,以截至2000年10月31日经审计的账面净资产7,470万元,按照1:1的折股比例整体变更为北京科锐配电自动化股份有限公司。",SZ,62.15亿,5.40,3.50,2.28亿,电气设备
30,清源股份,603628,SH,3.32,-,6845.00万,7.38%,107.15/107.15,"    公司前身为成立于2007年8月31日的厦门清源光电有限公司,后更名为清源光电(厦门)有限公司,2011年12月12日,有限公司整体变更设立为清源科技(厦门)股份有限公司。",SH,61.88亿,6.82,8.33,2.74亿,电气设备
31,展鹏科技,603488,SH,3.92,-,5200.00万,-,56.08/56.08,-,SH,40.68亿,4.99,13.13,2.08亿,-
32,奥翔药业,603229,SH,3.26,-,4000.00万,8.24%,58.14/58.14,-,SH,33.33亿,6.39,17.47,1.60亿,-
33,中科曙光,603019,SH,4.55,-,3.59亿,5.14%,76.96/81.06,-,SH,172.59亿,5.90,3.68,6.43亿,计算机
34,华荣股份,603855,SH,3.94,-,8277.00万,-,35.15/35.15,-,SH,39.79亿,3.05,2.96,3.31亿,-
35,N艾艾,603580,SH,5.19,-,1667.00万,24.06%,30.32/40.09,"    艾艾精工系由艾艾工业皮带(上海)有限公司整体变更设立。
    1997年4月8日,公司前身美林机械(上海)有限公司成立。
    2000年12月1日,公司名称变更为“艾艾工业皮带(上海)有限公司”。
    2012年8月16日,艾艾有限董事会决议,以艾艾有限截至2012年3月31日经大华会计师事务所有限公司审计的账面净资产折合为5,000万股,每股面值1元,其余部分计入资本公积。同日,全体股东作为发起人签署了《发起人协议》,发起设立艾艾精密工业输送系统(上海)股份有限公司。
    2012年12月7日,公司换领了上海市工商行政管理局核发的注册号为310000400168256(市局)的《企业法人营业执照》。",SH,9.42亿,2.72,-,6667.00万,-
36,华联综超,600361,SH,3.94,-,6.66亿,4.50%,-/-,"    北京华联综合超市股份有限公司系由北京华联商厦有限公司于2000年4月19日依法变更设立。
    经中国证券监督管理委员会证监发行字[2001]93号文批准,本公司于2001年11月6日发行人民币普通股5,000万股,发行后公司股本为12,557.29万股,注册资本为12,557.29万元。
    经中国证监会证监发行字[2006]3号文核准,本公司以非公开发行的方式成功地发行了4,643.9628万股人民币普通股(A)股。",SH,36.02亿,1.37,0.29,6.66亿,商业贸易
37,弘信电子,300657,SZ,6.28,-,2600.00万,-,28.22/28.22,"    公司前身为成立于2003年9月8日的厦门弘信电子科技有限公司。
    2013年6月28日,公司取得厦门市工商行政管理局核发的《企业法人营业执照》(注册号:350298400001287),公司整体变更为股份公司,名称变更为厦门弘信电子科技股份有限公司。",SZ,12.80亿,1.96,0.94,1.04亿,-
38,巨力索具,002342,SZ,2.53,-,8.66亿,9.80%,494.57/431.88,"    本公司是经河北省人民政府股份制领导小组办公室<关于同意发起设立巨力索具股份有限公司的批复>(冀股办[2004]45号)的批准,以发起设立方式设立的股份有限公司。2004年12月7日,公司在河北省工商行政管理局注册登记并领取了<企业法人营业执照>(注册号:1300002100483),注册资本为26,000万元。公司的发起人为巨力集团有限公司、巨力缆索工程有限公司2家法人单位与杨建忠、杨建国、杨会德、杨子4名自然人。",SZ,102.05亿,4.19,7.42,9.60亿,-
39,中能电气,300062,SZ,2.85,-,1.89亿,5.48%,39.39/43.86,"    福建中能电气股份有限公司前身系福州加德电气有限公司(以下简称“加德电气公司”),系经福建省福州市仓山区对外经济贸易局“榕仓外资字(2002)073号”《关于同意设立外商独资企业福州加德电气有限公司的批复》文批准,由加拿大电气设备有限公司于2002年12月2日出资组建的外商独资企业。加德电气公司初始注册资本为120万美元。2004年11月18日,经福州市工商行政管理局批准,加德电气公司名称变更为福建中能电气有限公司。
    2015年12月10日,公司名称由“福建中能电气股份有限公司”变更为“中能电气股份有限公司”,英文名称由“FUJIAN CEE INSTALLATIONS CO.,LTD.”变更为“CEEPOWER CO.,LTD.”。",SZ,30.89亿,3.52,3.40,3.08亿,-
40,昊华能源,601101,SH,5.84,-,12.00亿,11.39%,-/22.12,"    2002年12月6日,经北京市人民政府经济体制改革办公室<关于同意设立北京昊华能源股份有限公司的通知>批准,由京煤集团作为主发起人,联合中煤集团(原中国煤炭工业进出口集团公司)、首钢总公司、五矿发展(原五矿龙腾科技股份有限公司)及煤科总院等四家法人股东以发起方式共同设立本公司。",SH,89.28亿,1.27,1.44,12.00亿,采掘
41,霞客环保,002015,SZ,0.71,-,4.01亿,6.85%,-/-,"    江苏霞客环保色纺股份有限公司的前身为江阴霞客色纺有限公司,是由江苏万翔集团公司和朱涵琴等49位自然人共同出资组建而成的有限公司。
    2000年12月12日,公司在江苏省工商行政管理局登记注册。江阴霞客色纺有限公司整体变更为股份有限公司,公司更名为江苏霞客环保色纺股份有限公司。
    2004年7月8日,江苏霞客环保色纺股份有限公司的股票在深圳证券交易所上市交易。",SZ,29.13亿,10.31,7.76,4.01亿,化工
42,奇信股份,002781,SZ,7.45,-,9244.30万,2.45%,56.65/56.25,"    1995年5月12日,公司前身深圳市奇信装饰设计工程有限公司成立,2007年5月8日更名为深圳市奇信建设集团有限公司,2011年9月28日,整体变更设立为股份有限公司,名称由深圳市奇信建设集团有限公司变更为深圳市奇信建设集团股份有限公司。",SZ,61.61亿,3.68,1.89,2.25亿,-
43,长青集团,002616,SZ,2.71,-,4.58亿,9.39%,57.31/60.24,"    本公司前身系广东长青(集团)有限公司,广东长青(集团)有限公司由成立于1993年8月6日的广东长青(集团)公司于2002年改制设立,将集团有限由有限公司整体变更为股份有限公司。",SZ,93.48亿,4.66,4.77,7.43亿,-
44,八菱科技,002592,SZ,7.45,-,1.22亿,4.25%,64.43/60.11,"    公司前身为2001年7月17日成立的八菱散热器有限责任公司。
    2004年11月,经广西壮族自治区人民政府<关于同意发起设立南宁八菱科技股份有限公司的批复>(桂政函[2004]207号)批准,公司整体变更为股份有限公司。2011年11月11日,公司正式在深圳证券交易所挂牌上市。",SZ,82.73亿,3.92,9.02,2.83亿,汽车
45,正平股份,603843,SH,3.02,-,9970.00万,4.98%,61.27/60.56,"    1993年3月1日,公司前身湟中县正平公路工程公司成立。
    1995年7月4日,更名为青海省正平公路桥梁工程公司。
    2003年3月21日,公司更名为青海省正平公路桥梁工程有限公司。
    2004年5月,公司更名为青海省正平公路桥梁工程集团有限公司。
    2011年12月28日,公司更名为正平路桥建设股份有限公司。",SH,55.60亿,4.60,2.64,4.00亿,建筑装饰
46,亚太股份,002284,SZ,3.66,-,6.86亿,2.79%,51.25/50.91,"    浙江亚太机电股份有限公司系经浙江省人民政府企业上市工作领导小组浙上市〔2000〕36号文批准,由浙江亚太机电集团有限公司整体变更设立,公司于2000年12月7日在浙江省工商行政管理局登记注册。公司股票于2009年8月28日在深圳证券交易所挂牌交易。",SZ,73.90亿,2.74,2.05,7.38亿,-
47,中源协和,600645,SH,3.96,-,3.54亿,3.85%,205.90/108.68,"    本公司原名上海望春花(集团)股份有限公司,系1992年5月5日经上海市人民政经济委员会沪经办(1992)304号文批准,采用公开募集方式设立的股份有限公司。公司于2008年11月14日召""2008年第三次临时股东大会""审议并通过了关于将""公司名称变更为中源协和干细胞生物工程股份公司、注册地变更至天津市""的议案,并于2009年2月11日获得了天津市工商行政管理局颁发的企业法人营业执照。2014年11月11日,公司中文名称由“中源协和干细胞生物工程股份公司“变更为“中源协和细胞基因工程股份有限公司”,英文名称由“ZHONGYUAN UNION STEM CELL BIOENGINEERING CO.”变更为“ZHONGYUAN UNION CELL&GENE ENGINEERING CORP.,LTD”。",SH,77.95亿,5.10,8.71,3.86亿,医药生物
48,东南网架,002135,SZ,2.88,-,6.71亿,9.02%,142.99/112.48,"    浙江东南网架股份有限公司系经浙江省人民政府企业上市工作领导小组浙上市[2001]119号文批准,由浙江东南网架集团有限公司、浙江恒逸集团有限公司、杭州萧山振东出租汽车有限公司等3家法人单位和徐春祥、周观根、郭林林、陈传贤、殷建木等5名自然人共同发起设立,于2001年12月29日在浙江省工商行政管理局登记注册,取得注册号为3300001012101的企业法人营业执照>。",SZ,70.24亿,2.85,1.06,8.55亿,建筑装饰
49,联明股份,603006,SH,4.46,-,6991.38万,9.96%,41.28/43.27,"    联明机械系由联明有限以经立信审计的截至2008年11月30日的净资产85,398,826.11元,按照1.42331:1的折股比例,整体变更设立的股份有限公司。
    2008年12月12日,公司在上海市工商行政管理局办理了股份有限公司注册登记,并取得了注册号为310115400116515的<企业法人营业执照>。",SH,53.30亿,6.20,6.42,1.93亿,汽车
50,中新科技,603996,SH,4.66,-,1.03亿,3.39%,41.49/40.41,"    公司前身为新世纪光电有限公司,成立于2007年5月23日。2011年12月1日,新世纪光电有限公司整体变更为新世纪光电股份有限公司。
    2014年12月12日,新世纪光电股份有限公司更名为中新科技集团股份有限公司。",SH,48.80亿,3.49,1.12,3.00亿,家用电器
51,石化油服,600871,SH,0.51,-,28.18亿,9.02%,-/-,"    中国石化仪征化纤股份有限公司原名为仪征化纤股份有限公司,是于1993年12月31日在中华人民共和国注册成立的股份有限公司。1994年3月29日,仪征化纤股份有限公司于1994年3月发行的1,000,000,000股H股在香港联合交易所上市。1995年4月11日,仪征化纤股份有限公司于1995年1月发行的200,000,000股A股在上海证券交易所上市。1995年4月26日,仪征化纤股份有限公司于1995年4月发行的400,000,000股新H股在香港联合交易所上市。
    2001年2月27日,公司名称由""仪征化纤股份有限公司""变更为""中国石化仪征化纤股份有限公司""。
2015年3月，公司名称由“中国石化仪征化纤股份有限公司”变更为“中石化石油工程技术服务股份有限公司”，英文名称由“Sinopec Yizheng Chemical Fibre Company Limited”变更为“Sinopec Oilfield Service Corporation”。",SH,519.04亿,7.23,1.23,141.43亿,采掘
52,大晟文化,600892,SH,11.99,-,6289.94万,8.70%,49.77/53.87,"    公司的前身是""石家庄劝业场股份有限公司"",于1986年11月25日经石家庄市人民政府市政(1986)131号文批准组建,并经中国人民银行河北省分行(1986)冀银发字284号文批准向社会公开招股而设立,是河北省第一家向社会公开募集股份设立的商业股份制公司。1996年3月公司1530.97万社会个人股获准在上海证券交易所上市交易。2001年6月7日,公司正式变更为宝诚投资股份有限公司。
    2016年6月6日,公司名称由“宝诚投资股份有限公司”变更为“大晟时代文化投资股份有限公司”,英文名称由“Baocheng Investment Co.,Ltd.”变更为“Dasheng Times Cultural Investment CO.,LTD.”。",SH,75.99亿,4.55,22.54,1.40亿,传媒
53,格尔软件,603232,SH,8.34,-,1525.00万,6.83%,62.45/62.45,-,SH,35.21亿,6.92,14.42,6100.00万,-
54,金马股份,000980,SZ,4.14,-,5.28亿,3.21%,74.00/71.31,"    公司系经安徽省人民政府皖政秘(1998)269号文批准,由黄山金马集团有限公司为主发起人,联合杭州永磁集团有限公司、黄山徽新金塑有限公司、中国兵器工业第二一四研究所、黄山普乐房地产开发公司等单位以发起方式设立的股份有限公司。",SZ,64.22亿,2.94,3.47,5.28亿,汽车
55,新界泵业,002532,SZ,4.20,-,2.39亿,3.51%,35.04/29.50,"    公司系2008年12月经<浙江省对外贸易经济合作厅关于浙江新界泵业有限公司变更为外商投资股份有限公司的批复>(浙外经贸资函[2008]846号)批准,由浙江新界泵业有限公司整体变更成立的外商投资股份有限公司。
    2012年4月,企业名称由""浙江新界泵业股份有限公司""变更为""新界泵业集团股份有限公司""。",SZ,40.88亿,3.02,2.95,3.22亿,机械设备
56,金牛化工,600722,SH,1.31,-,6.80亿,5.34%,282.97/195.30,"    本公司是经河北省经济体制改革委员会以冀体改股字[1994]20号文批准,由沧州市化工厂进行股份制改组,发起成立的定向募集股份有限公司。
    2008年公司注册名称变更手续办理完毕,公司注册名称由""沧州化学工业股份有限公司(Cang Zhou Chemical IndustryCo.,Ltd.)""变更为""河北金牛化工股份有限公司(HeBeiJinniu Chemical Industry Co.,Ltd.)""。",SH,73.34亿,8.20,9.70,6.80亿,化工
57,杰赛科技,002544,SZ,2.59,-,5.11亿,5.80%,105.97/104.82,"    广州杰赛科技股份有限公司前身为广州杰赛科技发展有限公司,于1994年11月19日在广州市工商行政管理局注册成立。
    2003年3月6日,广州杰赛科技发展有限公司变更为股份有限公司,公司更名为广州杰赛科技股份有限公司,并在广州市工商行政管理局登记注册。
    2011年1月28日,经中国证券监督管理委员会""证监许可[2011]44号文""<关于核准广州杰赛科技股份有限公司首次公开发行股票的批复>批准,广州杰赛科技股份有限公司股票在深圳证券交易所上市交易。",SZ,112.80亿,8.43,3.97,5.16亿,通信
58,华资实业,600191,SH,4.58,-,4.85亿,3.53%,443.48/264.81,"    包头华资实业股份有限公司,于1998年7月29日经内蒙古自治区人民政府内政股批字(1998)15号文批准,由包头草原糖业(集团)有限责任公司作为主发起人与包头创业经济技术开发公司、包头市北普实业有限公司共同发起,采取社会募集方式设立的股份有限公司。
    经中国证券监督管理委员会证监发字(1998)276、277号文批准,向社会公开发行A股股票7,000万股,公司于1998年11月30日在内蒙古自治区工商行政管理局注册成立。1998年12月10日公司股票在上海证券交易所正式挂牌交易。",SH,44.08亿,1.99,46.73,4.85亿,农林牧渔
59,金陵体育,300651,SZ,7.50,-,1893.34万,9.64%,63.01/63.01,-,SZ,29.18亿,5.14,9.24,7573.34万,-
60,中材节能,603126,SH,2.48,-,2.18亿,8.99%,81.41/83.80,"    公司系经2010年11月19日国务院国有资产监督管理委员会国资改革[2010]1309号<关于设立中材节能股份有限公司的批复>批准,由中材节能发展有限公司以经利安达会计师事务所有限责任公司利安达审字[2009]第A1459号<审计报告>审定的截至2009年12月31日净资产457,743,213.60元(母公司数)为基数,按照1︰0.7144的比例折股,整体变更设立的股份有限公司。2010年12月6日,本公司在天津市工商行政管理局注册登记,领取注册号为120113000002346的<企业法人营业执照>。",SH,106.04亿,7.03,6.49,6.11亿,-
61,宁波精达,603088,SH,5.96,-,2500.00万,2.80%,119.92/96.90,"    宁波精达成形装备股份有限公司的前身为宁波精达机电科技有限公司,成立于2002年8月15日。
    2011年1月15日,宁波精达机电科技有限公司股东大会通过整体变更为股份公司的决议,变更为宁波精达成形装备股份有限公司。
    2011年2月21日,宁波精达成形装备股份有限公司在宁波市工商行政管理局领取了注册号为330200000071060号企业法人营业执照。",SH,25.78亿,5.41,10.18,8000.00万,机械设备
62,百洋股份,002696,SZ,5.81,-,1.04亿,7.53%,54.21/55.70,"    公司是由百洋有限整体变更设立的股份有限公司。2010年9月16日,公司召开股份公司第一次股东大会,通过决议以截至2010年7月31日经中磊审计(中磊审字[2010]第8059号<审计报告>)的百洋有限账面净资产165,882,894.02元为基础折合为股份公司股本6,600万股,每股面值1元,折股后剩余金额99,882,894.02元计入股份公司的资本公积金,属全体股东享有。2010年9月29日,公司取得了南宁市工商局核发的整体变更后的<企业法人营业执照>(注册号:450100200001254)。
    2015年11月27日,公司名称由“百洋水产集团股份有限公司”变更为“百洋产业投资集团股份有限公司”,英文名称由“BAIYANG AQUATIC GROUP,INC.”变更为“BAIYANG INVESTMENT GROUP,INC.”。",SZ,32.12亿,3.14,1.51,1.76亿,农林牧渔
