,unit
hk00817,2000
hk00755,5000
hk00736,3000
hk08442,500
hk01611,2000
hk00319,2000
hk06893,2000
hk00331,1000
hk02200,2000
hk01666,1000
hk00425,2000
hk01226,10000
hk00618,2000
hk00173,1000
hk03146,100
hk03049,300
hk02628,1000
hk01557,4000
hk00260,10000
hk09155,100
hk09146,100
hk08213,10000
hk03128,200
hk01240,2500
hk09074,100
hk03688,500
hk09170,100
hk09834,100
hk02880,2000
hk01459,2000
hk01008,2000
hk03101,100
hk01673,2000
hk00550,2000
hk02802,200
hk01151,500
hk06178,200
hk00288,500
hk03333,1000
hk02282,400
hk01515,500
hk01082,8000
hk03813,1000
hk00154,1000
hk00655,2000
hk02738,2000
hk00815,2000
hk03167,50
hk02827,200
hk07228,200
hk03020,15
hk00956,1000
hk00530,2000
hk03021,300
hk01106,100000
hk00001,500
hk83168,100
hk08331,10000
hk07222,100
hk02002,500
hk00224,4000
hk01088,500
hk00827,4000
hk00708,5000
hk02318,500
hk01982,2000
hk83100,100
hk03057,200
hk02688,2000
hk00850,4000
hk03092,25
hk01373,1000
hk01272,1000
hk01238,1000
hk01036,1000
hk00752,2000
hk01700,1000
hk00945,100
hk00365,2000
hk03165,200
hk01069,20000
hk00563,2000
hk00382,2000
hk06808,500
hk02834,100
hk02633,2000
hk01508,1000
hk00498,2000
hk03040,100
hk03908,400
hk03102,200
hk03026,20
hk02840,10
hk00593,500
hk82836,200
hk07230,100
hk03330,2000
hk03137,200
hk02383,2000
hk02293,8000
hk00728,2000
hk00707,2000
hk00659,1000
hk06161,2000
hk00222,2000
hk00175,5000
hk03055,50
hk01375,1000
hk03065,500
hk01037,2000
hk00328,2000
hk00194,2000
hk07267,100
hk03898,500
hk03839,500
hk03639,2000
hk01528,200
hk01045,500
hk00662,2000
hk07225,200
hk06837,400
hk03380,2000
hk03043,100
hk00577,500
hk00573,1000
hk03150,200
hk01085,2000
hk00737,500
hk00066,500
hk06868,1000
hk03116,200
hk01818,500
hk01038,500
hk02801,200
hk08261,8000
hk00579,2000
hk00405,1000
hk02212,20000
hk01883,1000
hk00833,1000
hk00285,500
hk06196,1000
hk01193,2000
hk00998,1000
hk00392,500
hk83137,200
hk08093,5000
hk02846,100
hk02382,1000
hk01448,1000
hk03046,100
hk01122,2000
hk00914,500
hk83180,200
hk03188,200
hk02313,1000
hk00590,1000
hk00003,1000
hk03019,125
hk01589,1000
hk01530,500
hk03063,550
hk00071,1000
hk83127,100
hk03140,500
hk01126,2000
hk03328,1000
hk01910,300
hk00133,2000
hk00032,1000
hk83129,200
hk03081,100
hk00432,1000
hk00267,1000
hk87001,1000
hk03025,250
hk00152,500
hk00025,2000
hk03127,100
hk02202,100
hk01388,1000
hk00551,500
hk03306,500
hk03012,500
hk01339,1000
hk01836,500
hk03013,200
hk01136,2000
hk00626,2000
hk07288,100
hk02393,2500
hk80737,500
hk03052,450
hk03016,200
hk08058,2000
hk02086,8000
hk01336,100
hk00034,1000
hk07250,200
hk03323,2000
hk03007,10
hk02838,100
hk01812,500
hk01135,500
hk00489,2000
hk00004,1000
hk83074,100
hk08008,1000
hk03027,125
hk00116,1000
hk03097,500
hk06189,500
hk03160,200
hk03074,100
hk03036,25
hk01398,1000
hk02828,200
hk02800,500
hk01533,500
hk00857,2000
hk00089,1000
hk00011,100
hk01299,200
hk01052,2000
hk83120,100
hk02099,100
hk03869,200
hk00078,2000
hk00023,200
hk03129,200
hk03120,100
hk00052,500
hk83188,200
hk06886,200
hk01999,400
hk02611,200
hk00548,2000
hk07200,100
hk83170,100
hk83012,500
hk07221,100
hk06826,100
hk03145,200
hk02847,100
hk03121,200
hk00006,500
hk83199,20
hk82828,200
hk03082,30
hk86002,5000
hk86001,5000
hk84602,10000
hk83162,100
hk83150,500
hk83149,200
hk83136,200
hk83132,200
hk83122,10
hk83115,10
hk83081,100
hk83010,100
hk83008,200
hk82847,100
hk82846,100
hk82833,100
hk82811,200
hk09846,100
hk09836,200
hk09081,100
hk09010,100
hk08432,10000
hk08431,10000
hk08425,4000
hk08421,5000
hk08410,10000
hk08407,2000
hk08366,10000
hk08365,5000
hk08358,5000
hk08349,10000
hk08348,2000
hk08343,5000
hk08341,5000
hk08340,10000
hk08336,1000
hk08333,5000
hk08327,10000
hk08321,10000
hk08319,10000
hk08316,10000
hk08310,10000
hk08306,10000
hk08297,5000
hk08295,20000
hk08293,5000
hk08286,5000
hk08273,2000
hk08272,20000
hk08271,2000
hk08248,10000
hk08247,2000
hk08243,5000
hk08238,8000
hk08236,1000
hk08232,5000
hk08215,20000
hk08207,4000
hk08205,4000
hk08203,10000
hk08202,10000
hk08201,20000
hk08197,10000
hk08196,4000
hk08195,8000
hk08191,6000
hk08188,4000
hk08183,5000
hk08181,8000
hk08176,5000
hk08175,10000
hk08173,40000
hk08171,160000
hk08170,4000
hk08166,20000
hk08160,12000
hk08159,5000
hk08157,20000
hk08155,8000
hk08150,10000
hk08149,10000
hk08145,2000
hk08141,10000
hk08133,20000
hk08129,20000
hk08128,8000
hk08127,1000
hk08125,4000
hk08122,8000
hk08121,10000
hk08119,10000
hk08117,10000
hk08116,20000
hk08115,4000
hk08103,20000
hk08098,10000
hk08087,20000
hk08081,10000
hk08080,8000
hk08079,5000
hk08076,5000
hk08075,4000
hk08069,5000
hk08067,1000
hk08063,50000
hk08061,20000
hk08059,5000
hk08056,5000
hk08048,2000
hk08045,6000
hk08033,2000
hk08030,5000
hk08028,20000
hk08026,1000
hk08023,6000
hk08020,10000
hk08016,2000
hk08011,20000
hk08001,4000
hk07335,100
hk07302,100
hk07300,100
hk07231,100
hk07205,200
hk07202,100
hk06882,2000
hk06866,2000
hk06863,1000
hk06838,2000
hk06836,2000
hk06833,4000
hk06828,8000
hk06822,4000
hk06388,100
hk06288,300
hk06230,50
hk06210,50
hk06198,1000
hk06188,500
hk06163,2000
hk06123,2000
hk06122,1000
hk06108,8000
hk06099,200
hk04610,10000
hk04609,10000
hk04608,10000
hk04607,10000
hk04606,10000
hk04605,10000
hk04604,10000
hk04603,10000
hk04601,20000
hk04338,10
hk03868,1000
hk03818,1000
hk03816,4000
hk03789,4000
hk03777,2000
hk03773,2000
hk03698,1000
hk03689,200
hk03683,2500
hk03663,4000
hk03633,2000
hk03628,4000
hk03618,1000
hk03608,2500
hk03398,2000
hk03377,500
hk03335,4000
hk03326,3000
hk03318,2000
hk03315,1000
hk03170,100
hk03153,200
hk03149,200
hk03143,200
hk03141,200
hk03134,200
hk03132,200
hk03126,100
hk03124,200
hk03122,10
hk03110,100
hk03105,500
hk03073,200
hk03071,500
hk03060,100
hk03056,500
hk03054,500
hk03041,100
hk03035,100
hk03017,250
hk03015,5
hk03008,200
hk02988,500
hk02957,2500
hk02951,20000
hk02946,20000
hk02944,25000
hk02889,2000
hk02886,2000
hk02848,10
hk02839,500
hk02835,500
hk02825,200
hk02821,10
hk02818,100
hk02817,500
hk02816,200
hk02811,200
hk02808,10
hk02788,2000
hk02768,2000
hk02700,20000
hk02698,500
hk02638,500
hk02608,1000
hk02601,200
hk02468,1000
hk02389,6000
hk02369,4000
hk02368,2000
hk02366,5000
hk02355,2000
hk02348,4000
hk02341,2000
hk02339,2000
hk02328,2000
hk02326,10000
hk02323,2000
hk02322,8000
hk02319,1000
hk02307,2000
hk02303,2000
hk02288,1000
hk02278,1000
hk02239,1000
hk02229,2000
hk02228,3000
hk02226,500
hk02223,2000
hk02213,2000
hk02198,1000
hk02193,4000
hk02168,500
hk02138,1000
hk02123,4000
hk02118,2000
hk02112,2000
hk02088,2000
hk02080,2000
hk02078,1000
hk02068,1000
hk02031,5000
hk02018,500
hk02016,1000
hk02010,1000
hk02009,500
hk02006,2000
hk02005,2000
hk02000,2000
hk01998,2000
hk01985,2000
hk01972,200
hk01884,4000
hk01863,1000
hk01838,1000
hk01819,600
hk01799,400
hk01777,1500
hk01776,200
hk01698,1000
hk01689,2000
hk01685,1000
hk01678,2000
hk01669,2000
hk01627,4000
hk01626,2000
hk01619,2000
hk01613,8000
hk01612,2000
hk01609,10000
hk01606,2000
hk01585,2000
hk01570,1000
hk01561,4000
hk01559,10000
hk01543,2000
hk01527,200
hk01495,2000
hk01492,2000
hk01468,10000
hk01460,4000
hk01450,2000
hk01431,1000
hk01421,5000
hk01399,2000
hk01395,5000
hk01389,4000
hk01378,500
hk01372,2000
hk01369,2000
hk01366,2000
hk01362,4000
hk01353,1000
hk01335,2000
hk01329,2000
hk01326,8000
hk01323,2000
hk01321,1000
hk01318,2000
hk01301,2000
hk01292,1000
hk01289,500
hk01277,2000
hk01260,2000
hk01258,1000
hk01247,2000
hk01241,2000
hk01237,10000
hk01236,2000
hk01231,2000
hk01229,2000
hk01228,5000
hk01221,2000
hk01219,1000
hk01217,40000
hk01213,2000
hk01207,2000
hk01198,2000
hk01196,2000
hk01192,20000
hk01191,20000
hk01189,10000
hk01188,2000
hk01187,2000
hk01184,2000
hk01174,2000
hk01170,2000
hk01168,2000
hk01163,10000
hk01160,100000
hk01152,2000
hk01149,4000
hk01148,1000
hk01146,2000
hk01132,5000
hk01129,4000
hk01121,2000
hk01116,4000
hk01104,20000
hk01101,2000
hk01091,1000
hk01075,6000
hk01073,2000
hk01068,1000
hk01062,10000
hk01059,3000
hk01051,3000
hk01049,6000
hk01047,2000
hk01041,10000
hk01031,2000
hk01028,1000
hk01027,10000
hk01026,10000
hk01010,2000
hk01007,1000
hk01006,1000
hk01005,2000
hk01002,4000
hk01000,500
hk00988,3000
hk00985,8000
hk00982,20000
hk00974,1000
hk00967,1000
hk00963,2500
hk00959,2000
hk00954,4000
hk00948,2000
hk00940,1000
hk00936,10000
hk00927,2000
hk00926,1000
hk00925,2000
hk00922,20000
hk00919,4000
hk00916,1000
hk00912,2000
hk00909,2000
hk00907,2000
hk00905,16000
hk00904,4000
hk00903,2000
hk00900,2000
hk00897,5000
hk00894,2000
hk00891,2000
hk00889,2000
hk00887,10000
hk00873,2000
hk00872,2000
hk00864,4000
hk00863,2000
hk00860,12000
hk00852,2000
hk00851,10000
hk00847,30
hk00846,1000
hk00845,1000
hk00844,4000
hk00840,2000
hk00837,2000
hk00828,2000
hk00820,500
hk00811,1000
hk00802,10000
hk00800,2000
hk00771,2000
hk00770,1000
hk00761,2000
hk00760,15000
hk00750,1000
hk00738,2000
hk00727,2000
hk00720,25000
hk00719,2000
hk00718,5000
hk00717,6000
hk00715,2000
hk00705,12000
hk00703,6000
hk00702,5000
hk00695,2000
hk00691,1000
hk00685,1000
hk00684,2000
hk00681,2000
hk00676,2000
hk00675,2000
hk00672,1000
hk00663,1000
hk00657,2000
hk00647,2000
hk00638,2000
hk00635,2000
hk00632,1000
hk00630,10000
hk00627,20000
hk00625,1000
hk00607,2500
hk00592,2000
hk00591,1000
hk00588,2000
hk00587,4000
hk00574,2000
hk00568,400
hk00566,2000
hk00560,2000
hk00554,2000
hk00542,8000
hk00536,2000
hk00521,10000
hk00513,10000
hk00511,100
hk00509,5000
hk00508,5000
hk00505,1000
hk00499,2000
hk00496,1000
hk00494,2000
hk00493,1000
hk00491,20000
hk00487,4000
hk00486,1000
hk00483,2000
hk00475,2000
hk00474,6000
hk00471,4000
hk00465,2000
hk00462,4000
hk00460,1000
hk00459,10000
hk00458,1000
hk00440,400
hk00438,2000
hk00434,1000
hk00430,2000
hk00428,2000
hk00423,2000
hk00422,1000
hk00408,2000
hk00406,2000
hk00404,2000
hk00403,2000
hk00401,5000
hk00400,1000
hk00398,2000
hk00397,10000
hk00393,4000
hk00385,2000
hk00381,10000
hk00373,2000
hk00367,4000
hk00364,4000
hk00362,10000
hk00361,20000
hk00353,20000
hk00348,2000
hk00343,5000
hk00339,10000
hk00336,1000
hk00335,2000
hk00332,4000
hk00318,5000
hk00313,50000
hk00312,2000
hk00311,1000
hk00307,2000
hk00305,10000
hk00303,100
hk00300,2000
hk00299,10000
hk00294,1000
hk00292,10000
hk00290,2000
hk00287,2000
hk00286,2000
hk00282,2000
hk00281,2000
hk00277,2000
hk00274,40000
hk00265,5000
hk00261,20000
hk00254,10000
hk00253,2000
hk00252,2000
hk00248,4000
hk00246,500
hk00244,1000
hk00239,2500
hk00236,2000
hk00234,8000
hk00233,10000
hk00225,2000
hk00217,2000
hk00208,5000
hk00207,2000
hk00204,20000
hk00198,4000
hk00193,15000
hk00189,1000
hk00184,2000
hk00183,8000
hk00181,20000
hk00179,500
hk00170,5000
hk00166,2000
hk00161,2000
hk00157,10000
hk00155,10000
hk00151,1000
hk00132,1000
hk00125,2000
hk00114,5000
hk00111,2000
hk00106,4000
hk00105,2000
hk00104,5000
hk00103,2000
hk00096,2000
hk00092,2000
hk00073,1000
hk00072,2000
hk00068,1000
hk00067,2000
hk00060,2000
hk00057,2000
hk00055,10000
hk00053,1000
hk00051,1000
hk00047,4000
hk00039,8000
hk00037,2000
hk00031,2000
hk00026,200
hk00024,2000
hk00015,2000
hk00008,1000
hk00007,2000
hk03199,20
hk03115,10
hk00700,100
hk00005,400
hk02833,100
hk00522,100
hk00044,400
hk03320,500
hk01357,500
hk01382,1000
hk83156,200
hk07321,100
hk00973,250
hk07388,100
hk07336,100
hk06869,500
hk01099,400
hk06881,500
hk03009,100
hk02388,500
hk01880,1000
hk01708,1000
hk01349,1000
hk01066,4000
hk00939,1000
hk00386,4000
hk00371,2000
hk09115,10
hk00384,2000
hk07312,200
hk01385,2000
hk00853,1000
hk00251,2000
hk01986,500
hk01565,1000
hk00341,2000
hk01608,1000
hk00435,1000
hk82808,10
hk02877,1000
hk01658,1000
hk00338,2000
hk02836,200
hk02805,100
hk01109,2000
hk00941,500
hk00306,2000
hk00212,500
hk00709,2000
hk07341,100
hk06030,500
hk00906,1000
hk03062,300
hk01255,2000
hk00687,2000
hk00158,500
hk00035,1000
hk07362,100
hk03958,400
hk01518,500
hk00669,500
hk00604,2000
hk07322,100
hk02869,2000
hk01333,400
hk01159,500
hk00746,2000
hk00517,2000
hk00002,500
hk01633,3000
hk01426,1000
hk01270,500
hk00778,1000
hk00046,2000
hk08345,2000
hk00883,1000
hk00278,2000
hk07328,200
hk02196,500
hk01211,500
hk00823,500
hk00028,1000
hk07315,200
hk01929,200
hk00177,2000
hk01212,500
hk00315,500
hk02183,2000
hk03933,2000
hk02778,1000
hk02300,2000
hk00856,2000
hk00156,10000
hk07326,200
hk07311,200
hk03889,2000
hk03135,300
hk02286,1000
hk01271,1000
hk00812,2000
hk00735,500
hk00029,2000
hk00012,1000
hk01549,8000
hk00753,2000
hk00139,14000
hk08347,8000
hk01428,2000
hk00867,1000
hk08360,4000
hk03311,2000
hk03157,200
hk02607,100
hk00987,2000
hk00688,2000
hk03888,1000
hk03396,100
hk01881,1000
hk01130,4000
hk00185,10000
hk02020,1000
hk00933,1000
hk00878,500
hk00354,2000
hk01138,2000
hk00357,1000
hk01365,1000
hk00480,800
hk06896,500
hk06139,500
hk01513,100
hk00813,500
hk08326,1000
hk08131,2000
hk01200,2000
hk00389,2000
hk00211,10000
hk08091,10000
hk03988,1000
hk03045,50
hk01387,2000
hk00220,1000
hk00041,1000
hk01093,2000
hk00376,2000
hk08415,10000
hk06066,500
hk03162,100
hk02824,100
hk02281,1000
hk02017,2000
hk01577,2000
hk01173,20000
hk00984,500
hk00444,10000
hk01578,500
hk01461,1000
hk00099,1000
hk08239,2000
hk03156,200
hk00272,500
hk08019,20000
hk00258,2000
hk07331,100
hk03966,2000
hk01113,500
hk00931,20000
hk00388,100
hk01233,1000
hk01089,5000
hk00808,1000
hk00426,2000
hk00016,1000
hk03768,1000
hk01100,2000
hk00268,2000
hk01568,2000
hk00450,2000
hk02343,1000
hk00995,2000
hk01586,4000
hk01131,5000
hk00077,2000
hk02345,2000
hk01225,20000
hk01181,2000
hk00520,500
hk00048,10000
hk01359,1000
hk01230,1000
hk00085,2000
hk00014,1000
hk00235,5000
hk00135,2000
hk08186,20000
hk01813,500
hk01681,1000
hk01218,1000
hk00896,2000
hk00645,2000
hk08352,10000
hk03399,1000
hk03118,100
hk03010,100
hk00395,8000
hk00101,1000
hk02666,500
hk01596,1000
hk01177,1000
hk00960,500
hk03918,2000
hk02356,400
hk01680,1000
hk00375,1000
hk00242,2000
hk01618,1000
hk01060,10000
hk03383,2000
hk00825,1000
hk03331,1000
hk02689,1000
hk01858,200
hk01202,2000
hk06898,2000
hk01498,500
hk01386,1000
hk00620,2000
hk02008,2000
hk01848,500
hk01509,1000
hk00257,1000
hk01963,500
hk00730,1000
hk08228,20000
hk02371,4000
hk00363,1000
hk00202,5000
hk03360,1000
hk02964,20000
hk01628,1000
hk01107,2000
hk00540,4000
hk00021,5000
hk03822,4000
hk02128,1000
hk01180,4000
hk00968,2000
hk00678,1000
hk00178,2000
hk01314,2000
hk00908,2000
hk00756,4000
hk00656,500
hk00171,2000
hk00163,2000
hk03788,1000
hk02588,100
hk01816,1000
hk01285,1000
hk00814,1000
hk00345,2000
hk00293,1000
hk03893,20000
hk03883,1000
hk02888,50
hk08148,20000
hk03005,350
hk02030,1000
hk01899,1000
hk01124,2000
hk00576,2000
hk00484,100
hk00283,2000
hk00129,2000
hk01055,2000
hk00107,2000
hk03948,100
hk00549,2000
hk00512,4000
hk00488,15000
hk00334,8000
hk08070,5000
hk03368,500
hk00273,10000
hk00138,2000
hk08277,2000
hk03983,2000
hk01115,1000
hk00476,10000
hk08217,10000
hk03339,1000
hk02001,1000
hk00570,2000
hk00351,10000
hk02338,1000
hk01989,8000
hk00546,1000
hk00271,1000
hk00119,1000
hk08283,5000
hk03313,1000
hk02333,500
hk01048,1000
hk00174,2000
hk02083,1000
hk01205,2000
hk00929,5000
hk00787,2000
hk00468,1000
hk00122,1000
hk00862,20000
hk00320,2000
hk00297,2000
hk01639,10000
hk02380,1000
hk02014,1000
hk01483,2000
hk01224,1000
hk00054,500
hk08090,2000
hk01340,2000
hk01001,2000
hk08095,1000
hk03084,300
hk03070,100
hk01302,2000
hk01120,2000
hk00017,1000
hk03900,500
hk02221,4000
hk00543,1000
hk00083,2000
hk00080,20000
hk08329,10000
hk01319,8000
hk00981,500
hk00230,2000
hk03308,1000
hk03175,200
hk01070,2000
hk01044,500
hk00237,2000
hk02317,4000
hk01882,1000
hk01165,2000
hk01111,1000
hk08077,5000
hk06830,2000
hk01523,8000
hk08249,5000
hk01733,12000
hk01600,1500
hk00747,2000
hk03344,2000
hk03329,1000
hk03389,4000
hk01182,10000
hk00606,1000
hk00321,2000
hk00141,2000
hk01828,1000
hk00832,1000
hk00556,2000
hk08411,10000
hk08206,1000
hk01699,4000
hk01367,4000
hk01065,2000
hk00751,2000
hk00232,2000
hk00159,4000
hk02899,2000
hk02038,1000
hk01011,500
hk00124,2000
hk02727,2000
hk01381,1000
hk00665,1000
hk00356,30000
hk00445,5000
hk00275,10000
hk08172,20000
hk01829,1000
hk01466,2000
hk00902,2000
hk00525,2000
hk00197,5000
hk00109,10000
hk02330,4000
hk01480,2000
hk00992,2000
hk08265,4000
hk06899,1000
hk01358,1000
hk00731,2000
hk00295,25000
hk08193,5000
hk08052,10000
hk03087,10
hk02136,500
hk01383,10000
hk00848,1000
hk00653,2000
hk03363,2000
hk02378,500
hk01268,2000
hk00038,2000
hk03600,1000
hk03300,2000
hk03099,25
hk00810,6000
hk02266,2000
hk01788,1000
hk00572,4000
hk00533,1000
hk08032,8000
hk02898,10000
hk01830,4000
hk00578,10000
hk00079,4000
hk02028,2000
hk01432,1000
hk00162,2000
hk02329,1000
hk00836,2000
hk00865,1000
hk03369,500
hk01800,1000
hk01579,1000
hk01004,2000
hk00633,2000
hk00093,2000
hk01661,1000
hk01581,5000
hk01235,5000
hk00668,2000
hk03378,2000
hk01086,1000
hk08311,10000
hk08281,8000
hk03969,1000
hk01547,8000
hk01918,1000
hk01885,4000
hk00757,1000
hk01766,1000
hk01103,800
hk00451,2000
hk00255,2000
hk00228,2000
hk00165,2000
hk02600,2000
hk01257,1000
hk01114,2000
hk00390,1000
hk00218,5000
hk08200,40000
hk02066,500
hk00527,4000
hk08328,4000
hk00598,1000
hk00241,2000
hk01786,500
hk01555,2000
hk01548,2000
hk00605,2000
hk00609,4000
hk02669,5000
hk01629,4000
hk00127,500
hk08178,24000
hk06183,1000
hk03999,1000
hk00621,10000
hk00355,4000
hk08252,2000
hk06166,1000
hk03332,2000
hk00112,2000
hk01478,1000
hk01223,10000
hk01020,4000
hk00966,200
hk00729,5000
hk00097,1000
hk01866,1000
hk01558,200
hk00482,2000
hk03836,500
hk00953,2000
hk08280,2000
hk02314,1000
hk00969,2000
hk00704,10000
hk00789,20000
hk00526,2000
hk01462,2000
hk00958,2000
hk01771,1000
hk01662,4000
hk01566,1000
hk01265,10000
hk01232,2000
hk01164,5000
hk01140,4000
hk00754,2000
hk02686,1000
hk00651,5000
hk00164,25000
hk08342,5000
hk08138,1000
hk08108,2000
hk02113,5000
hk01970,100
hk01717,1000
hk01647,5000
hk01195,4000
hk00923,2000
hk00775,2000
hk00558,2500
hk03808,500
hk03669,500
hk01282,4000
hk00871,1000
hk00199,1000
hk00187,2000
hk03147,200
hk00617,2000
hk01991,2000
hk01079,2000
hk00531,1000
hk00168,2000
hk03636,100
hk01913,100
hk01308,1000
hk00895,200
hk08066,5000
hk01072,200
hk00934,2000
hk00876,10000
hk00697,2000
hk00075,2000
hk83147,200
hk08359,20000
hk01400,5000
hk00816,2000
hk08246,8000
hk08018,10000
hk03998,2000
hk00610,2000
hk00298,10000
hk00262,5000
hk00188,10000
